Method/N	1	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192 
target map(tofrom: a)	28.1±1.0	27.3±0.4	27.4±0.3	27.1±0.3	27.4±0.2	27.3±0.4	26.6±0.1	26.7±0.1	27.5±0.2	28.4±0.4	30.3±0.1	35.5±0.1	44.7±0.3	63.8±0.3
target map(to: a)	19.8±0.2	19.8±0.3	19.9±0.2	19.6±0.1	19.9±0.1	19.9±0.4	18.9±0.0	19.1±0.1	19.4±0.2	19.8±0.1	21.0±0.2	23.5±0.2	28.8±0.1	43.0±0.2
target map(from: a)	27.0±0.3	27.5±0.2	27.6±0.2	27.1±0.3	27.3±0.2	27.4±0.2	26.7±0.1	26.6±0.2	26.8±0.3	27.4±0.4	28.7±0.2	30.9±0.0	35.4±0.3	43.0±0.3
target map(alloc: a)	19.8±0.2	19.8±0.1	19.8±0.2	20.0±0.1	19.7±0.2	19.8±0.3	18.9±0.2	19.1±0.2	18.8±0.2	18.8±0.2	18.9±0.2	18.9±0.2	19.0±0.0	18.8±0.0
target	27.0±0.3	27.1±0.2	27.4±0.2	27.3±0.2	27.5±0.1	27.4±0.3	26.6±0.2	27.1±0.1	27.2±0.2	28.3±0.3	30.6±0.1	35.4±0.4	44.7±0.2	63.8±0.1
target teams	6317.4±4.2	6316.4±2.1	6317.6±1.9	6316.6±2.1	6318.6±1.9	6318.8±2.1	6318.3±3.0	6315.9±2.0	6316.9±1.3	6316.6±2.7	6317.7±2.1	6315.7±2.7	6317.1±3.2	6319.3±1.5
target teams parallel	6318.7±1.7	6312.5±2.8	6319.2±2.5	6317.2±4.2	6317.4±1.1	6317.6±2.6	6314.2±1.0	6317.6±2.6	6316.0±4.2	6313.2±2.3	6313.0±1.3	6315.5±3.1	6318.1±1.8	6312.3±2.3
target teams distribute parallel for	482.5±0.5	483.1±0.7	483.5±0.3	483.6±1.5	483.5±1.6	483.4±1.0	482.3±1.5	482.4±1.2	482.8±0.9	484.3±0.5	486.0±1.0	491.1±0.6	500.7±1.4	521.5±1.2
target nowait	121.6±0.4	120.9±1.2	121.9±0.4	122.0±1.1	122.2±1.6	121.1±1.4	122.0±0.7	122.6±0.6	123.4±1.6	124.1±0.7	127.6±1.5	129.8±1.3	139.5±0.9	161.8±0.9
target map(to: a[0:N])	111.8±0.8	112.8±0.9	112.3±1.3	113.4±1.5	113.6±1.1	113.2±1.1	114.3±1.6	113.3±2.0	113.9±0.8	114.0±0.6	116.1±1.2	117.7±0.4	122.4±1.5	136.7±1.3
target map(tofrom: a[0:N])	122.8±1.4	122.3±0.6	121.7±1.0	122.1±0.3	122.5±0.7	121.9±1.6	122.3±0.6	122.5±0.6	123.4±1.1	124.2±1.2	125.8±1.3	131.1±0.9	140.7±1.4	161.8±1.5
num_teams(8) thread_limit(256)	153.8±1.5	153.6±0.6	153.8±0.9	154.0±1.3	154.5±1.0	153.6±0.7	155.1±0.4	154.9±1.2	155.8±0.9	156.8±2.0	159.5±1.5	164.0±0.6	172.1±1.0	194.5±1.1
Finalizing benchmark.
