Method/N	1	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192
target teams parallel [threads=32 teams=64]/n	6317.9±2.8	6317.5±2.7	6318.0±4.1	6319.1±2.2	6319.4±1.5	6319.6±1.7	6317.8±1.0	6316.6±4.5	6315.0±3.0	6315.9±2.1	6315.8±2.8	6317.6±1.6	6318.2±1.5	6316.2±1.3
target teams parallel [threads=64 teams=64]/n	6317.2±2.8	6314.6±1.3	6317.5±1.6	6312.5±0.7	6316.5±1.4	6315.5±1.9	6314.5±3.4	6317.5±2.9	6317.3±2.1	6318.3±1.5	6317.4±1.8	6313.7±3.5	6315.5±3.6	6316.3±1.1
target teams parallel [threads=128 teams=64]/n	6313.7±4.8	6317.1±2.3	6315.3±1.6	6312.1±2.5	6314.4±2.1	6316.5±1.8	6317.3±1.1	6314.3±1.7	6314.8±2.7	6317.9±1.1	6314.8±2.1	6316.9±2.5	6318.3±1.9	6314.3±2.1
target teams parallel [threads=256 teams=64]/n	6316.2±1.7	6313.4±4.3	6316.1±2.3	6318.2±1.3	6316.2±1.9	6316.2±2.3	6314.4±3.9	6314.8±3.0	6312.3±1.8	6315.6±3.7	6318.4±1.7	6317.0±3.5	6313.0±4.1	6316.4±2.2
target teams parallel [threads=512 teams=64]/n	6313.3±3.7	6316.4±2.9	6313.4±3.2	6317.0±2.9	6316.9±1.7	6317.0±2.8	6314.6±3.3	6312.9±1.6	6317.2±3.8	6316.0±1.9	6314.4±1.9	6316.6±2.9	6313.4±1.7	6315.6±2.8
target teams parallel [threads=1024 teams=64]/n	6316.8±1.3	6316.0±1.4	6315.3±4.4	6314.8±2.1	6314.8±4.6	6316.3±2.9	6318.1±1.6	6314.1±2.5	6312.6±4.0	6315.2±2.5	6314.5±2.4	6315.8±4.7	6314.3±3.1	6316.3±2.4
target teams parallel [threads=2048 teams=64]/n	6316.7±1.5	6315.8±2.1	6316.7±4.0	6313.9±1.0	6315.5±3.2	6315.0±3.4	6315.0±2.4	6314.9±2.1	6315.0±2.0	6314.0±2.7	6316.6±2.6	6316.9±2.6	6317.5±3.9	6316.8±1.6
target teams parallel [threads=4096 teams=64]/n	6315.1±4.3	6314.1±3.5	6314.1±1.4	6314.6±2.3	6315.4±3.9	6317.0±2.2	6315.9±2.1	6315.6±3.9	6313.7±3.0	6315.1±3.1	6314.7±0.9	6316.5±1.2	6315.3±2.4	6314.8±3.3
target teams parallel [threads=8192 teams=64]/n	6313.6±0.9	6316.6±3.0	6313.8±3.7	6316.1±2.6	6315.8±2.7	6314.4±4.4	6313.6±3.4	6315.3±1.2	6313.4±2.0	6315.7±3.7	6317.3±2.8	6314.4±1.2	6318.4±2.3	6314.9±1.8
target teams parallel [threads=16384 teams=64]/n	6314.8±1.7	6316.1±2.6	6317.2±0.5	6315.5±3.5	6316.3±3.4	6315.6±2.5	6315.3±2.0	6313.8±1.9	6317.8±2.4	6315.9±2.4	6315.4±1.1	6315.9±3.7	6316.7±2.5	6316.3±3.3
target teams parallel [threads=32768 teams=64]/n	6314.4±2.6	6316.3±3.1	6315.0±3.1	6312.5±2.2	6315.5±2.7	6316.0±2.3	6317.9±2.8	6318.6±0.4	6313.8±1.8	6312.8±2.0	6315.6±3.0	6317.0±1.8	6316.8±1.5	6315.5±4.1
Finalizing benchmark.
