Method/N	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288
target map(tofrom: a) [threads=32 teams=64]/n	32.4±2.4	35.7±0.1	45.0±0.3	64.9±0.5	94.3±0.3	156.1±0.2	290.9±0.8	669.6±1.0	1011.3±3.9	1699.9±12.2
target map(to: a) [threads=32 teams=64]/n	21.4±0.1	24.0±0.2	29.2±0.1	43.2±0.3	60.2±0.4	94.0±0.2	161.6±1.5	430.4±0.9	631.8±1.4	928.4±1.0
target map(from: a) [threads=32 teams=64]/n	28.8±0.2	31.2±0.3	36.1±0.2	45.4±0.2	59.8±0.3	96.9±0.6	179.1±0.5	462.4±0.6	650.6±1.5	1155.2±1.6
target map(alloc: a) [threads=32 teams=64]/n	19.3±0.2	19.4±0.4	19.4±0.2	19.3±0.3	19.4±0.1	19.3±0.1	19.3±0.4	115.2±2.0	116.8±1.5	117.5±0.6
target [threads=32 teams=64]/n	30.8±0.1	35.5±0.2	45.1±0.5	64.7±0.6	94.5±0.8	156.6±0.3	291.0±0.6	665.7±4.1	1030.8±23.1	1753.8±23.0
target teams [threads=32 teams=64]/n	6316.1±1.4	6313.5±1.8	6318.7±2.2	6317.8±2.7	6331.8±1.8	6342.7±2.7	6360.5±1.4	6405.4±2.0	6547.2±1.8	6778.5±3.6
target nowait [threads=32 teams=64]/n	31.4±0.5	35.6±0.2	44.8±0.1	64.2±0.3	95.3±0.7	154.7±0.8	289.0±1.1	664.3±8.5	983.1±7.5	1775.8±32.3
target map(to: a[0:N]) [threads=32 teams=64]/n	21.4±0.2	24.1±0.2	29.2±0.1	43.5±0.2	60.0±0.3	93.9±0.0	160.5±0.9	423.1±1.0	617.3±1.8	1000.6±1.6
target map(tofrom: a[0:N]) [threads=32 teams=64]/n	30.8±0.3	35.5±0.1	44.7±0.2	64.4±0.4	95.0±0.5	154.6±0.4	287.0±0.9	644.0±2.2	960.2±4.0	1630.7±1.9
num_teams(8) thread_limit(256) [threads=32 teams=64]/n	158.7±0.9	161.6±1.1	172.5±1.0	194.0±1.2	229.7±0.8	298.8±0.3	434.2±1.3	699.4±9.6	1035.2±26.4	1759.3±21.2
Finalizing benchmark.
