Method/N	1	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192
target map(tofrom: a)	20.0±0.5	20.1±0.2	20.2±0.2	20.3±0.2	20.2±0.2	20.3±0.2	20.3±0.2	21.1±0.2	21.0±0.2	22.1±0.2	24.1±0.3	27.5±0.3	36.0±0.3	50.9±0.2
target map(to: a)	13.4±0.2	13.4±0.2	13.4±0.2	13.4±0.2	13.4±0.2	13.4±0.2	13.4±0.2	14.2±0.2	13.8±0.2	14.5±0.2	15.5±0.2	17.2±0.1	22.4±0.1	31.2±0.2
target map(from: a)	18.5±0.2	18.7±0.2	18.7±0.2	18.8±0.2	18.7±0.2	18.8±0.2	18.7±0.2	19.3±0.2	19.3±0.2	20.0±0.1	21.4±0.2	23.1±0.2	27.7±0.2	36.4±0.3
target map(alloc: a)	11.9±0.1	11.9±0.1	11.9±0.1	11.9±0.1	11.9±0.1	11.8±0.1	11.9±0.1	12.5±0.1	11.9±0.1	12.2±0.1	12.3±0.1	12.0±0.1	11.9±0.1	11.7±0.1
target	19.9±0.2	20.1±0.2	20.2±0.2	20.2±0.2	20.2±0.2	20.3±0.2	20.3±0.2	21.2±0.2	21.0±0.2	22.0±0.2	24.0±0.3	27.6±0.3	36.1±0.2	50.9±0.2
target teams	49.5±0.2	49.8±0.2	49.8±0.2	49.9±0.2	49.9±0.2	49.9±0.2	49.9±0.2	50.6±0.2	51.4±8.1	51.9±0.2	53.9±0.3	57.7±0.3	66.4±0.2	80.3±0.3
target teams parallel	49.8±0.2	50.0±0.2	50.1±0.2	50.2±0.2	50.1±0.2	50.1±0.2	50.2±0.2	51.0±0.2	51.4±0.2	52.7±0.2	54.8±0.3	58.5±0.3	67.2±0.2	81.6±0.3
target teams distribute parallel for	14.8±0.2	15.0±0.1	15.0±0.1	15.1±0.1	15.1±0.1	15.1±0.1	15.1±0.1	15.5±0.2	15.6±0.1	17.8±0.2	20.7±0.2	22.5±0.3	30.6±0.2	45.1±0.2
target nowait	24.1±0.2	24.1±0.2	24.1±0.2	24.2±0.2	24.2±0.2	24.3±0.2	24.3±0.2	25.1±0.2	24.9±0.3	26.0±0.2	28.0±0.2	31.9±0.2	36.8±0.4	52.6±0.8
target map(to: a[0:N])	13.6±0.2	13.6±0.2	13.6±0.2	13.6±0.2	13.6±0.2	13.6±0.2	13.6±0.2	14.4±0.2	14.0±0.2	14.6±0.2	15.7±0.2	17.3±0.1	22.5±0.1	31.3±0.2
target map(tofrom: a[0:N])	20.2±0.2	20.3±0.2	20.3±0.2	20.2±0.2	20.4±0.2	20.4±0.2	20.4±0.2	21.4±0.2	21.2±0.2	22.3±0.2	24.3±0.3	27.8±0.3	36.5±0.2	51.6±0.3
num_teams(8) thread_limit(256)	19.6±0.2	19.8±0.2	19.9±0.2	19.8±0.2	19.9±0.2	20.0±0.2	20.0±0.2	19.8±0.2	20.4±0.2	21.3±0.2	23.3±0.3	26.8±0.3	35.2±0.2	49.7±0.3
Finalizing benchmark.
