method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,32,108,0,0,7,0,57.361554354
1,"map(tofrom: a)",1,32,108,0,0,114,0,73.187611997
1,"map(tofrom: a)",1,32,108,0,0,3,0,46.807341278
1,"map(tofrom: a)",1,32,108,0,0,17,0,49.425661564
1,"map(tofrom: a)",1,32,108,0,0,1,0,72.678644210
1,"map(tofrom: a)",1,32,108,0,0,44,0,63.740462065
1,"map(tofrom: a)",1,32,108,0,0,294,0,102.483201772
1,"map(tofrom: a)",1,32,108,0,0,3140,0,498.804450035
1,"map(tofrom: a)",1,32,108,0,0,4,0,47.825276852
1,"map(tofrom: a)",1,32,108,0,0,1955,0,312.589947134
1,"map(tofrom: a)",1,32,108,0,0,183,0,84.038358182
1,"map(tofrom: a)",1,32,108,0,0,8096,0,1142.214983702
1,"map(tofrom: a)",1,32,108,0,0,758,0,153.836607933
1,"map(tofrom: a)",1,32,108,0,0,71,0,56.762900203
1,"map(tofrom: a)",1,32,108,0,0,2,0,46.138092875
1,"map(tofrom: a)",1,32,108,0,0,11,0,47.789793462
1,"map(tofrom: a)",1,32,108,0,0,28,0,51.228050143
1,"map(tofrom: a)",1,32,108,0,0,5042,0,739.927031100
1,"map(tofrom: a)",1,32,108,0,0,1218,0,226.051919162
1,"map(tofrom: a)",1,32,108,0,0,472,0,122.902356088
1,"map(tofrom: a)",1,32,108,0,1,4,0,45.773014426
1,"map(tofrom: a)",1,32,108,0,1,1,0,56.121777743
1,"map(tofrom: a)",1,32,108,0,1,17,0,58.894976974
1,"map(tofrom: a)",1,32,108,0,1,28,0,62.248669565
1,"map(tofrom: a)",1,32,108,0,1,11,0,73.302816600
1,"map(tofrom: a)",1,32,108,0,1,3140,0,495.726708323
1,"map(tofrom: a)",1,32,108,0,1,2,0,46.526361257
1,"map(tofrom: a)",1,32,108,0,1,758,0,177.787896246
1,"map(tofrom: a)",1,32,108,0,1,1218,0,228.835083544
1,"map(tofrom: a)",1,32,108,0,1,44,0,65.255817026
1,"map(tofrom: a)",1,32,108,0,1,71,0,65.541267395
1,"map(tofrom: a)",1,32,108,0,1,114,0,73.181651533
1,"map(tofrom: a)",1,32,108,0,1,294,0,95.807760954
1,"map(tofrom: a)",1,32,108,0,1,7,0,61.926525086
1,"map(tofrom: a)",1,32,108,0,1,183,0,83.316024393
1,"map(tofrom: a)",1,32,108,0,1,8096,0,1155.911386013
1,"map(tofrom: a)",1,32,108,0,1,472,0,133.248697966
1,"map(tofrom: a)",1,32,108,0,1,1955,0,330.940727144
