method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
9,"teams reduction",16,32,108,0,0,7,0,26706.241164356
9,"teams reduction",16,32,108,0,0,114,0,3191.418573260
9,"teams reduction",16,32,108,0,0,3,0,8452.266734093
9,"teams reduction",16,32,108,0,0,17,0,13495.760038495
9,"teams reduction",16,32,108,0,0,1,0,13062.271755189
9,"teams reduction",16,32,108,0,0,44,0,13106.771372259
9,"teams reduction",16,32,108,0,0,294,0,13179.036602378
9,"teams reduction",16,32,108,0,0,3140,0,13142.625987530
9,"teams reduction",16,32,108,0,0,4,0,12965.227942914
9,"teams reduction",16,32,108,0,0,1955,0,13096.308428794
9,"teams reduction",16,32,108,0,0,183,0,19671.301916242
9,"teams reduction",16,32,108,0,0,8096,0,6351.351551712
9,"teams reduction",16,32,108,0,0,758,0,13349.588308483
9,"teams reduction",16,32,108,0,0,71,0,13069.325219840
9,"teams reduction",16,32,108,0,0,2,0,13010.989874601
9,"teams reduction",16,32,108,0,0,11,0,13116.822950542
9,"teams reduction",16,32,108,0,0,28,0,13137.412536889
9,"teams reduction",16,32,108,0,0,5042,0,13161.916099489
9,"teams reduction",16,32,108,0,0,1218,0,13093.107286841
9,"teams reduction",16,32,108,0,0,472,0,22731.358092278
9,"teams reduction",16,32,108,0,1,4,0,3205.788135529
9,"teams reduction",16,32,108,0,1,1,0,13334.674946964
9,"teams reduction",16,32,108,0,1,17,0,13068.839162588
9,"teams reduction",16,32,108,0,1,28,0,13068.715948611
9,"teams reduction",16,32,108,0,1,11,0,13118.409179151
9,"teams reduction",16,32,108,0,1,3140,0,13180.000521243
9,"teams reduction",16,32,108,0,1,2,0,13075.707294047
9,"teams reduction",16,32,108,0,1,758,0,13105.356413871
9,"teams reduction",16,32,108,0,1,1218,0,25848.570466042
9,"teams reduction",16,32,108,0,1,44,0,3240.172564983
9,"teams reduction",16,32,108,0,1,71,0,10117.442253977
9,"teams reduction",16,32,108,0,1,114,0,13081.837631762
9,"teams reduction",16,32,108,0,1,294,0,13152.526412159
9,"teams reduction",16,32,108,0,1,7,0,13024.398777634
9,"teams reduction",16,32,108,0,1,183,0,13073.808606714
9,"teams reduction",16,32,108,0,1,8096,0,13305.598217994
9,"teams reduction",16,32,108,0,1,472,0,12871.555984020
9,"teams reduction",16,32,108,0,1,1955,0,13172.785844654
9,"teams reduction",16,32,108,0,1,3,0,18512.549251318
9,"teams reduction",16,32,108,0,1,5042,0,7765.184063464
9,"teams reduction",16,32,108,0,2,3,0,12910.882942379
9,"teams reduction",16,32,108,0,2,44,0,13166.981097311
9,"teams reduction",16,32,108,0,2,1,0,13024.407159537
9,"teams reduction",16,32,108,0,2,183,0,13123.273290694
9,"teams reduction",16,32,108,0,2,294,0,13195.381313562
9,"teams reduction",16,32,108,0,2,5042,0,13131.495658308
9,"teams reduction",16,32,108,0,2,7,0,12958.621978760
9,"teams reduction",16,32,108,0,2,8096,0,22425.207681954
9,"teams reduction",16,32,108,0,2,2,0,3163.991402835
9,"teams reduction",16,32,108,0,2,114,0,13700.186833739
9,"teams reduction",16,32,108,0,2,71,0,13135.638274252
9,"teams reduction",16,32,108,0,2,1955,0,13181.080762297
9,"teams reduction",16,32,108,0,2,17,0,13062.698673457
