method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
6,"teams distribute parallel for",16382,64,104,0,0,7,0,308.394432068
6,"teams distribute parallel for",16382,64,104,0,0,7,1,309.050083160
6,"teams distribute parallel for",16382,64,104,0,0,7,2,309.395790100
6,"teams distribute parallel for",16382,64,104,0,0,7,3,308.799743652
6,"teams distribute parallel for",16382,64,104,0,0,7,4,309.157371521
6,"teams distribute parallel for",16382,64,104,0,0,7,5,309.002399445
6,"teams distribute parallel for",16382,64,104,0,0,7,6,309.002399445
6,"teams distribute parallel for",16382,64,104,0,0,7,7,309.550762177
6,"teams distribute parallel for",16382,64,104,0,0,7,8,308.692455292
6,"teams distribute parallel for",16382,64,104,0,0,7,9,309.252738953
6,"teams distribute parallel for",16382,64,104,0,0,114,0,565.552711487
6,"teams distribute parallel for",16382,64,104,0,0,114,1,565.242767334
6,"teams distribute parallel for",16382,64,104,0,0,114,2,565.600395203
6,"teams distribute parallel for",16382,64,104,0,0,114,3,565.493106842
6,"teams distribute parallel for",16382,64,104,0,0,114,4,564.897060394
6,"teams distribute parallel for",16382,64,104,0,0,114,5,565.755367279
6,"teams distribute parallel for",16382,64,104,0,0,114,6,564.849376678
6,"teams distribute parallel for",16382,64,104,0,0,114,7,565.898418427
6,"teams distribute parallel for",16382,64,104,0,0,114,8,565.195083618
6,"teams distribute parallel for",16382,64,104,0,0,114,9,564.992427826
6,"teams distribute parallel for",16382,64,104,0,0,3,0,300.049781799
6,"teams distribute parallel for",16382,64,104,0,0,3,1,300.049781799
6,"teams distribute parallel for",16382,64,104,0,0,3,2,299.692153931
6,"teams distribute parallel for",16382,64,104,0,0,3,3,300.145149231
6,"teams distribute parallel for",16382,64,104,0,0,3,4,300.490856171
6,"teams distribute parallel for",16382,64,104,0,0,3,5,300.002098083
6,"teams distribute parallel for",16382,64,104,0,0,3,6,299.799442291
6,"teams distribute parallel for",16382,64,104,0,0,3,7,299.704074860
6,"teams distribute parallel for",16382,64,104,0,0,3,8,300.598144531
6,"teams distribute parallel for",16382,64,104,0,0,3,9,300.097465515
6,"teams distribute parallel for",16382,64,104,0,0,17,0,335.693359375
6,"teams distribute parallel for",16382,64,104,0,0,17,1,335.800647736
6,"teams distribute parallel for",16382,64,104,0,0,17,2,335.800647736
6,"teams distribute parallel for",16382,64,104,0,0,17,3,336.050987244
6,"teams distribute parallel for",16382,64,104,0,0,17,4,335.800647736
6,"teams distribute parallel for",16382,64,104,0,0,17,5,335.645675659
6,"teams distribute parallel for",16382,64,104,0,0,17,6,335.943698883
6,"teams distribute parallel for",16382,64,104,0,0,17,7,335.991382599
6,"teams distribute parallel for",16382,64,104,0,0,17,8,335.752964020
6,"teams distribute parallel for",16382,64,104,0,0,17,9,335.800647736
6,"teams distribute parallel for",16382,64,104,0,0,1,0,297.749042511
6,"teams distribute parallel for",16382,64,104,0,0,1,1,297.904014587
6,"teams distribute parallel for",16382,64,104,0,0,1,2,297.749042511
6,"teams distribute parallel for",16382,64,104,0,0,1,3,297.355651855
6,"teams distribute parallel for",16382,64,104,0,0,1,4,297.796726227
6,"teams distribute parallel for",16382,64,104,0,0,1,5,297.951698303
6,"teams distribute parallel for",16382,64,104,0,0,1,6,298.845767975
6,"teams distribute parallel for",16382,64,104,0,0,1,7,298.094749451
6,"teams distribute parallel for",16382,64,104,0,0,1,8,297.451019287
6,"teams distribute parallel for",16382,64,104,0,0,1,9,298.047065735
6,"teams distribute parallel for",16382,64,104,0,0,44,0,399.601459503
6,"teams distribute parallel for",16382,64,104,0,0,44,1,399.351119995
6,"teams distribute parallel for",16382,64,104,0,0,44,2,399.804115295
6,"teams distribute parallel for",16382,64,104,0,0,44,3,399.756431580
6,"teams distribute parallel for",16382,64,104,0,0,44,4,399.243831635
6,"teams distribute parallel for",16382,64,104,0,0,44,5,399.899482727
6,"teams distribute parallel for",16382,64,104,0,0,44,6,399.398803711
6,"teams distribute parallel for",16382,64,104,0,0,44,7,399.446487427
6,"teams distribute parallel for",16382,64,104,0,0,44,8,399.661064148
6,"teams distribute parallel for",16382,64,104,0,0,44,9,399.506092072
6,"teams distribute parallel for",16382,64,104,0,0,294,0,994.253158569
6,"teams distribute parallel for",16382,64,104,0,0,294,1,995.397567749
6,"teams distribute parallel for",16382,64,104,0,0,294,2,992.906093597
6,"teams distribute parallel for",16382,64,104,0,0,294,3,994.408130646
6,"teams distribute parallel for",16382,64,104,0,0,294,4,992.894172668
6,"teams distribute parallel for",16382,64,104,0,0,294,5,994.396209717
6,"teams distribute parallel for",16382,64,104,0,0,294,6,992.953777313
6,"teams distribute parallel for",16382,64,104,0,0,294,7,994.503498077
6,"teams distribute parallel for",16382,64,104,0,0,294,8,993.394851685
6,"teams distribute parallel for",16382,64,104,0,0,294,9,994.408130646
6,"teams distribute parallel for",16382,64,104,0,0,3140,0,7757.651805878
6,"teams distribute parallel for",16382,64,104,0,0,3140,1,7780.349254608
6,"teams distribute parallel for",16382,64,104,0,0,3140,2,7760.655879974
6,"teams distribute parallel for",16382,64,104,0,0,3140,3,7781.004905701
6,"teams distribute parallel for",16382,64,104,0,0,3140,4,7758.498191833
6,"teams distribute parallel for",16382,64,104,0,0,3140,5,7778.704166412
6,"teams distribute parallel for",16382,64,104,0,0,3140,6,7762.658596039
6,"teams distribute parallel for",16382,64,104,0,0,3140,7,7778.048515320
6,"teams distribute parallel for",16382,64,104,0,0,3140,8,7755.899429321
6,"teams distribute parallel for",16382,64,104,0,0,3140,9,7779.455184937
6,"teams distribute parallel for",16382,64,104,0,0,4,0,304.603576660
6,"teams distribute parallel for",16382,64,104,0,0,4,1,304.949283600
6,"teams distribute parallel for",16382,64,104,0,0,4,2,304.651260376
6,"teams distribute parallel for",16382,64,104,0,0,4,3,304.305553436
6,"teams distribute parallel for",16382,64,104,0,0,4,4,304.794311523
6,"teams distribute parallel for",16382,64,104,0,0,4,5,304.591655731
6,"teams distribute parallel for",16382,64,104,0,0,4,6,304.698944092
6,"teams distribute parallel for",16382,64,104,0,0,4,7,305.044651031
6,"teams distribute parallel for",16382,64,104,0,0,4,8,304.543972015
6,"teams distribute parallel for",16382,64,104,0,0,4,9,305.008888245
6,"teams distribute parallel for",16382,64,104,0,0,1955,0,4947.900772095
6,"teams distribute parallel for",16382,64,104,0,0,1955,1,4960.405826569
6,"teams distribute parallel for",16382,64,104,0,0,1955,2,4950.952529907
6,"teams distribute parallel for",16382,64,104,0,0,1955,3,4961.359500885
6,"teams distribute parallel for",16382,64,104,0,0,1955,4,4946.196079254
6,"teams distribute parallel for",16382,64,104,0,0,1955,5,4961.502552032
6,"teams distribute parallel for",16382,64,104,0,0,1955,6,4949.152469635
