method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,64,104,0,0,7,0,483.345985413
1,"map(tofrom: a)",1,64,104,0,0,114,0,578.057765961
1,"map(tofrom: a)",1,64,104,0,0,3,0,481.605529785
1,"map(tofrom: a)",1,64,104,0,0,17,0,494.205951691
1,"map(tofrom: a)",1,64,104,0,0,1,0,470.590591431
1,"map(tofrom: a)",1,64,104,0,0,44,0,504.589080811
1,"map(tofrom: a)",1,64,104,0,0,294,0,723.445415497
1,"map(tofrom: a)",1,64,104,0,0,3140,0,3210.246562958
1,"map(tofrom: a)",1,64,104,0,0,4,0,469.696521759
1,"map(tofrom: a)",1,64,104,0,0,1955,0,2173.399925232
1,"map(tofrom: a)",1,64,104,0,0,183,0,625.896453857
1,"map(tofrom: a)",1,64,104,0,0,8096,0,7432.103157043
1,"map(tofrom: a)",1,64,104,0,0,758,0,1139.605045319
1,"map(tofrom: a)",1,64,104,0,0,71,0,527.596473694
1,"map(tofrom: a)",1,64,104,0,0,2,0,467.252731323
1,"map(tofrom: a)",1,64,104,0,0,11,0,475.490093231
1,"map(tofrom: a)",1,64,104,0,0,28,0,489.807128906
1,"map(tofrom: a)",1,64,104,0,0,5042,0,4877.543449402
1,"map(tofrom: a)",1,64,104,0,0,1218,0,1529.800891876
1,"map(tofrom: a)",1,64,104,0,0,472,0,871.157646179
1,"map(tofrom: a)",1,64,104,0,1,4,0,469.994544983
1,"map(tofrom: a)",1,64,104,0,1,1,0,466.752052307
1,"map(tofrom: a)",1,64,104,0,1,17,0,481.295585632
1,"map(tofrom: a)",1,64,104,0,1,28,0,490.355491638
1,"map(tofrom: a)",1,64,104,0,1,11,0,474.452972412
1,"map(tofrom: a)",1,64,104,0,1,3140,0,3180.348873138
1,"map(tofrom: a)",1,64,104,0,1,2,0,466.847419739
1,"map(tofrom: a)",1,64,104,0,1,758,0,1119.649410248
1,"map(tofrom: a)",1,64,104,0,1,1218,0,1535.749435425
1,"map(tofrom: a)",1,64,104,0,1,44,0,504.648685455
1,"map(tofrom: a)",1,64,104,0,1,71,0,529.050827026
1,"map(tofrom: a)",1,64,104,0,1,114,0,566.649436951
1,"map(tofrom: a)",1,64,104,0,1,294,0,720.846652985
1,"map(tofrom: a)",1,64,104,0,1,7,0,471.794605255
1,"map(tofrom: a)",1,64,104,0,1,183,0,626.254081726
1,"map(tofrom: a)",1,64,104,0,1,8096,0,7435.858249664
1,"map(tofrom: a)",1,64,104,0,1,472,0,883.352756500
1,"map(tofrom: a)",1,64,104,0,1,1955,0,2148.592472076
1,"map(tofrom: a)",1,64,104,0,1,3,0,467.395782471
1,"map(tofrom: a)",1,64,104,0,1,5042,0,4893.696308136
1,"map(tofrom: a)",1,64,104,0,2,3,0,467.443466187
1,"map(tofrom: a)",1,64,104,0,2,44,0,504.553318024
1,"map(tofrom: a)",1,64,104,0,2,1,0,466.656684875
1,"map(tofrom: a)",1,64,104,0,2,183,0,623.202323914
1,"map(tofrom: a)",1,64,104,0,2,294,0,723.600387573
1,"map(tofrom: a)",1,64,104,0,2,5042,0,4803.895950317
1,"map(tofrom: a)",1,64,104,0,2,7,0,471.055507660
1,"map(tofrom: a)",1,64,104,0,2,8096,0,7507.538795471
1,"map(tofrom: a)",1,64,104,0,2,2,0,466.501712799
1,"map(tofrom: a)",1,64,104,0,2,114,0,566.148757935
1,"map(tofrom: a)",1,64,104,0,2,71,0,528.454780579
1,"map(tofrom: a)",1,64,104,0,2,1955,0,2144.658565521
1,"map(tofrom: a)",1,64,104,0,2,17,0,481.951236725
1,"map(tofrom: a)",1,64,104,0,2,472,0,872.004032135
1,"map(tofrom: a)",1,64,104,0,2,11,0,474.905967712
1,"map(tofrom: a)",1,64,104,0,2,1218,0,1527.547836304
1,"map(tofrom: a)",1,64,104,0,2,4,0,469.398498535
1,"map(tofrom: a)",1,64,104,0,2,3140,0,3203.547000885
1,"map(tofrom: a)",1,64,104,0,2,758,0,1131.451129913
1,"map(tofrom: a)",1,64,104,0,2,28,0,489.306449890
1,"map(tofrom: a)",1,64,104,0,3,11,0,474.858283997
1,"map(tofrom: a)",1,64,104,0,3,4,0,469.398498535
1,"map(tofrom: a)",1,64,104,0,3,5042,0,4832.208156586
1,"map(tofrom: a)",1,64,104,0,3,183,0,626.897811890
1,"map(tofrom: a)",1,64,104,0,3,17,0,481.450557709
1,"map(tofrom: a)",1,64,104,0,3,3,0,468.051433563
1,"map(tofrom: a)",1,64,104,0,3,28,0,489.950180054
1,"map(tofrom: a)",1,64,104,0,3,1218,0,1510.000228882
1,"map(tofrom: a)",1,64,104,0,3,114,0,566.542148590
1,"map(tofrom: a)",1,64,104,0,3,758,0,1119.351387024
1,"map(tofrom: a)",1,64,104,0,3,1955,0,2171.993255615
1,"map(tofrom: a)",1,64,104,0,3,472,0,877.797603607
1,"map(tofrom: a)",1,64,104,0,3,7,0,470.805168152
1,"map(tofrom: a)",1,64,104,0,3,44,0,505.995750427
1,"map(tofrom: a)",1,64,104,0,3,3140,0,3210.496902466
1,"map(tofrom: a)",1,64,104,0,3,8096,0,7445.204257965
1,"map(tofrom: a)",1,64,104,0,3,71,0,529.456138611
1,"map(tofrom: a)",1,64,104,0,3,1,0,466.859340668
1,"map(tofrom: a)",1,64,104,0,3,2,0,467.348098755
1,"map(tofrom: a)",1,64,104,0,3,294,0,722.253322601
1,"map(tofrom: a)",1,64,104,0,4,3,0,468.194484711
1,"map(tofrom: a)",1,64,104,0,4,8096,0,7500.743865967
