method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
8,"teams atomic",1,32,132,0,0,7,0,31.697750092
8,"teams atomic",1,32,132,0,0,114,0,33.998489380
8,"teams atomic",1,32,132,0,0,3,0,31.995773315
8,"teams atomic",1,32,132,0,0,17,0,31.507015228
8,"teams atomic",1,32,132,0,0,1,0,31.399726868
8,"teams atomic",1,32,132,0,0,44,0,32.949447632
8,"teams atomic",1,32,132,0,0,294,0,37.848949432
8,"teams atomic",1,32,132,0,0,3140,0,97.000598907
8,"teams atomic",1,32,132,0,0,4,0,32.055377960
8,"teams atomic",1,32,132,0,0,1955,0,72.300434113
8,"teams atomic",1,32,132,0,0,183,0,35.452842712
8,"teams atomic",1,32,132,0,0,8096,0,196.599960327
8,"teams atomic",1,32,132,0,0,758,0,47.254562378
8,"teams atomic",1,32,132,0,0,71,0,32.794475555
8,"teams atomic",1,32,132,0,0,2,0,31.554698944
8,"teams atomic",1,32,132,0,0,11,0,31.507015228
8,"teams atomic",1,32,132,0,0,28,0,32.401084900
8,"teams atomic",1,32,132,0,0,5042,0,135.147571564
8,"teams atomic",1,32,132,0,0,1218,0,57.494640350
8,"teams atomic",1,32,132,0,0,472,0,41.449069977
8,"teams atomic",1,32,132,0,1,4,0,31.352043152
8,"teams atomic",1,32,132,0,1,1,0,31.352043152
8,"teams atomic",1,32,132,0,1,17,0,28.204917908
8,"teams atomic",1,32,132,0,1,28,0,26.452541351
8,"teams atomic",1,32,132,0,1,11,0,25.844573975
8,"teams atomic",1,32,132,0,1,3140,0,76.353549957
8,"teams atomic",1,32,132,0,1,2,0,25.749206543
8,"teams atomic",1,32,132,0,1,758,0,38.599967957
8,"teams atomic",1,32,132,0,1,1218,0,46.050548553
8,"teams atomic",1,32,132,0,1,44,0,26.750564575
8,"teams atomic",1,32,132,0,1,71,0,27.751922607
8,"teams atomic",1,32,132,0,1,114,0,28.300285339
8,"teams atomic",1,32,132,0,1,294,0,31.745433807
8,"teams atomic",1,32,132,0,1,7,0,27.143955231
8,"teams atomic",1,32,132,0,1,183,0,28.645992279
8,"teams atomic",1,32,132,0,1,8096,0,154.805183411
8,"teams atomic",1,32,132,0,1,472,0,34.809112549
8,"teams atomic",1,32,132,0,1,1955,0,59.497356415
8,"teams atomic",1,32,132,0,1,3,0,27.549266815
8,"teams atomic",1,32,132,0,1,5042,0,106.239318848
8,"teams atomic",1,32,132,0,2,3,0,26.047229767
8,"teams atomic",1,32,132,0,2,44,0,26.452541351
8,"teams atomic",1,32,132,0,2,1,0,26.500225067
8,"teams atomic",1,32,132,0,2,183,0,30.303001404
8,"teams atomic",1,32,132,0,2,294,0,31.745433807
8,"teams atomic",1,32,132,0,2,5042,0,107.097625732
8,"teams atomic",1,32,132,0,2,7,0,26.702880859
8,"teams atomic",1,32,132,0,2,8096,0,154.900550842
8,"teams atomic",1,32,132,0,2,2,0,26.202201843
8,"teams atomic",1,32,132,0,2,114,0,28.002262115
8,"teams atomic",1,32,132,0,2,71,0,28.049945831
8,"teams atomic",1,32,132,0,2,1955,0,57.947635651
8,"teams atomic",1,32,132,0,2,17,0,26.547908783
8,"teams atomic",1,32,132,0,2,472,0,34.844875336
8,"teams atomic",1,32,132,0,2,11,0,26.357173920
8,"teams atomic",1,32,132,0,2,1218,0,45.347213745
8,"teams atomic",1,32,132,0,2,4,0,25.999546051
8,"teams atomic",1,32,132,0,2,3140,0,76.651573181
8,"teams atomic",1,32,132,0,2,758,0,38.897991180
8,"teams atomic",1,32,132,0,2,28,0,27.000904083
8,"teams atomic",1,32,132,0,3,11,0,26.702880859
8,"teams atomic",1,32,132,0,3,4,0,26.190280914
8,"teams atomic",1,32,132,0,3,5042,0,107.192993164
8,"teams atomic",1,32,132,0,3,183,0,29.003620148
8,"teams atomic",1,32,132,0,3,17,0,26.440620422
8,"teams atomic",1,32,132,0,3,3,0,26.750564575
8,"teams atomic",1,32,132,0,3,28,0,26.595592499
8,"teams atomic",1,32,132,0,3,1218,0,47.159194946
8,"teams atomic",1,32,132,0,3,114,0,28.157234192
8,"teams atomic",1,32,132,0,3,758,0,39.458274841
8,"teams atomic",1,32,132,0,3,1955,0,57.446956635
8,"teams atomic",1,32,132,0,3,472,0,33.700466156
8,"teams atomic",1,32,132,0,3,7,0,26.202201843
8,"teams atomic",1,32,132,0,3,44,0,26.357173920
8,"teams atomic",1,32,132,0,3,3140,0,76.401233673
8,"teams atomic",1,32,132,0,3,8096,0,154.554843903
8,"teams atomic",1,32,132,0,3,71,0,27.608871460
8,"teams atomic",1,32,132,0,3,1,0,25.904178619
8,"teams atomic",1,32,132,0,3,2,0,26.249885559
8,"teams atomic",1,32,132,0,3,294,0,30.744075775
8,"teams atomic",1,32,132,0,4,3,0,26.357173920
8,"teams atomic",1,32,132,0,4,8096,0,154.507160187
8,"teams atomic",1,32,132,0,4,1,0,25.844573975
8,"teams atomic",1,32,132,0,4,28,0,26.595592499
8,"teams atomic",1,32,132,0,4,17,0,26.297569275
8,"teams atomic",1,32,132,0,4,5042,0,106.799602509
8,"teams atomic",1,32,132,0,4,7,0,26.643276215
8,"teams atomic",1,32,132,0,4,114,0,28.657913208
8,"teams atomic",1,32,132,0,4,44,0,27.549266815
8,"teams atomic",1,32,132,0,4,2,0,26.357173920
8,"teams atomic",1,32,132,0,4,294,0,32.401084900
8,"teams atomic",1,32,132,0,4,758,0,38.754940033
8,"teams atomic",1,32,132,0,4,183,0,29.146671295
8,"teams atomic",1,32,132,0,4,4,0,25.904178619
8,"teams atomic",1,32,132,0,4,1218,0,46.348571777
8,"teams atomic",1,32,132,0,4,71,0,26.845932007
8,"teams atomic",1,32,132,0,4,1955,0,58.245658875
8,"teams atomic",1,32,132,0,4,11,0,26.202201843
8,"teams atomic",1,32,132,0,4,472,0,34.308433533
8,"teams atomic",1,32,132,0,4,3140,0,76.651573181
8,"teams atomic",1,32,132,1,0,2,0,26.297569275
8,"teams atomic",1,32,132,1,0,4,0,25.856494904
8,"teams atomic",1,32,132,1,0,472,0,33.843517303
8,"teams atomic",1,32,132,1,0,3140,0,76.651573181
8,"teams atomic",1,32,132,1,0,183,0,29.850006104
8,"teams atomic",1,32,132,1,0,28,0,26.702880859
8,"teams atomic",1,32,132,1,0,71,0,28.097629547
8,"teams atomic",1,32,132,1,0,1218,0,46.145915985
8,"teams atomic",1,32,132,1,0,294,0,31.697750092
8,"teams atomic",1,32,132,1,0,1,0,26.094913483
8,"teams atomic",1,32,132,1,0,7,0,26.047229767
8,"teams atomic",1,32,132,1,0,1955,0,58.043003082
8,"teams atomic",1,32,132,1,0,758,0,38.456916809
8,"teams atomic",1,32,132,1,0,114,0,27.549266815
8,"teams atomic",1,32,132,1,0,11,0,26.440620422
8,"teams atomic",1,32,132,1,0,3,0,26.202201843
8,"teams atomic",1,32,132,1,0,8096,0,154.852867126
8,"teams atomic",1,32,132,1,0,44,0,27.549266815
8,"teams atomic",1,32,132,1,0,17,0,26.094913483
8,"teams atomic",1,32,132,1,0,5042,0,106.549263000
8,"teams atomic",1,32,132,1,1,758,0,38.743019104
8,"teams atomic",1,32,132,1,1,3,0,26.059150696
8,"teams atomic",1,32,132,1,1,3140,0,76.341629028
8,"teams atomic",1,32,132,1,1,1955,0,58.257579803
8,"teams atomic",1,32,132,1,1,44,0,26.404857635
8,"teams atomic",1,32,132,1,1,17,0,26.893615723
8,"teams atomic",1,32,132,1,1,294,0,31.447410583
8,"teams atomic",1,32,132,1,1,28,0,26.547908783
8,"teams atomic",1,32,132,1,1,114,0,27.740001678
8,"teams atomic",1,32,132,1,1,2,0,25.999546051
8,"teams atomic",1,32,132,1,1,7,0,27.203559875
8,"teams atomic",1,32,132,1,1,183,0,29.253959656
8,"teams atomic",1,32,132,1,1,8096,0,154.602527618
8,"teams atomic",1,32,132,1,1,11,0,26.452541351
8,"teams atomic",1,32,132,1,1,1,0,25.892257690
8,"teams atomic",1,32,132,1,1,1218,0,45.800209045
8,"teams atomic",1,32,132,1,1,472,0,34.403800964
8,"teams atomic",1,32,132,1,1,71,0,27.501583099
8,"teams atomic",1,32,132,1,1,5042,0,107.049942017
8,"teams atomic",1,32,132,1,1,4,0,26.595592499
8,"teams atomic",1,32,132,1,2,2,0,25.796890259
8,"teams atomic",1,32,132,1,2,71,0,27.298927307
8,"teams atomic",1,32,132,1,2,17,0,26.845932007
8,"teams atomic",1,32,132,1,2,472,0,34.451484680
8,"teams atomic",1,32,132,1,2,5042,0,106.549263000
8,"teams atomic",1,32,132,1,2,28,0,26.798248291
8,"teams atomic",1,32,132,1,2,44,0,26.905536652
8,"teams atomic",1,32,132,1,2,1218,0,45.609474182
8,"teams atomic",1,32,132,1,2,4,0,26.154518127
8,"teams atomic",1,32,132,1,2,1955,0,57.399272919
8,"teams atomic",1,32,132,1,2,183,0,28.991699219
8,"teams atomic",1,32,132,1,2,7,0,26.106834412
8,"teams atomic",1,32,132,1,2,758,0,38.051605225
8,"teams atomic",1,32,132,1,2,1,0,26.154518127
8,"teams atomic",1,32,132,1,2,3140,0,76.854228973
8,"teams atomic",1,32,132,1,2,8096,0,154.650211334
8,"teams atomic",1,32,132,1,2,3,0,26.404857635
8,"teams atomic",1,32,132,1,2,114,0,27.906894684
8,"teams atomic",1,32,132,1,2,11,0,26.750564575
8,"teams atomic",1,32,132,1,2,294,0,31.304359436
8,"teams atomic",1,32,132,1,3,1,0,26.905536652
8,"teams atomic",1,32,132,1,3,17,0,26.154518127
8,"teams atomic",1,32,132,1,3,294,0,31.948089600
8,"teams atomic",1,32,132,1,3,5042,0,107.443332672
8,"teams atomic",1,32,132,1,3,114,0,27.906894684
8,"teams atomic",1,32,132,1,3,28,0,26.297569275
8,"teams atomic",1,32,132,1,3,1218,0,45.704841614
8,"teams atomic",1,32,132,1,3,2,0,26.690959930
8,"teams atomic",1,32,132,1,3,3,0,25.904178619
8,"teams atomic",1,32,132,1,3,4,0,26.249885559
8,"teams atomic",1,32,132,1,3,758,0,38.802623749
8,"teams atomic",1,32,132,1,3,11,0,26.607513428
8,"teams atomic",1,32,132,1,3,44,0,26.810169220
8,"teams atomic",1,32,132,1,3,472,0,33.700466156
8,"teams atomic",1,32,132,1,3,7,0,26.011466980
8,"teams atomic",1,32,132,1,3,1955,0,58.102607727
8,"teams atomic",1,32,132,1,3,71,0,27.298927307
8,"teams atomic",1,32,132,1,3,183,0,28.800964355
8,"teams atomic",1,32,132,1,3,8096,0,154.709815979
8,"teams atomic",1,32,132,1,3,3140,0,76.293945312
8,"teams atomic",1,32,132,1,4,472,0,33.593177795
8,"teams atomic",1,32,132,1,4,71,0,27.358531952
8,"teams atomic",1,32,132,1,4,1,0,26.249885559
8,"teams atomic",1,32,132,1,4,11,0,26.690959930
8,"teams atomic",1,32,132,1,4,4,0,26.357173920
8,"teams atomic",1,32,132,1,4,3140,0,76.603889465
8,"teams atomic",1,32,132,1,4,28,0,26.798248291
8,"teams atomic",1,32,132,1,4,1218,0,45.609474182
8,"teams atomic",1,32,132,1,4,2,0,26.750564575
8,"teams atomic",1,32,132,1,4,183,0,28.896331787
8,"teams atomic",1,32,132,1,4,5042,0,106.346607208
8,"teams atomic",1,32,132,1,4,114,0,28.359889984
8,"teams atomic",1,32,132,1,4,3,0,25.999546051
8,"teams atomic",1,32,132,1,4,44,0,26.607513428
8,"teams atomic",1,32,132,1,4,758,0,38.695335388
8,"teams atomic",1,32,132,1,4,8096,0,154.495239258
8,"teams atomic",1,32,132,1,4,1955,0,57.458877563
8,"teams atomic",1,32,132,1,4,294,0,30.696392059
8,"teams atomic",1,32,132,1,4,7,0,25.844573975
8,"teams atomic",1,32,132,1,4,17,0,26.798248291
8,"teams atomic",2,32,132,0,0,7,0,18.405914307
8,"teams atomic",2,32,132,0,0,114,0,20.098686218
8,"teams atomic",2,32,132,0,0,3,0,19.645690918
8,"teams atomic",2,32,132,0,0,17,0,18.453598022
8,"teams atomic",2,32,132,0,0,1,0,18.548965454
8,"teams atomic",2,32,132,0,0,44,0,18.703937531
8,"teams atomic",2,32,132,0,0,294,0,23.603439331
8,"teams atomic",2,32,132,0,0,3140,0,68.998336792
8,"teams atomic",2,32,132,0,0,4,0,18.441677094
8,"teams atomic",2,32,132,0,0,1955,0,49.948692322
8,"teams atomic",2,32,132,0,0,183,0,21.755695343
8,"teams atomic",2,32,132,0,0,8096,0,147.104263306
8,"teams atomic",2,32,132,0,0,758,0,30.696392059
8,"teams atomic",2,32,132,0,0,71,0,19.860267639
8,"teams atomic",2,32,132,0,0,2,0,18.894672394
8,"teams atomic",2,32,132,0,0,11,0,18.596649170
8,"teams atomic",2,32,132,0,0,28,0,18.799304962
8,"teams atomic",2,32,132,0,0,5042,0,99.408626556
8,"teams atomic",2,32,132,0,0,1218,0,38.504600525
8,"teams atomic",2,32,132,0,0,472,0,26.595592499
8,"teams atomic",2,32,132,0,1,4,0,18.095970154
8,"teams atomic",2,32,132,0,1,1,0,18.346309662
8,"teams atomic",2,32,132,0,1,17,0,18.799304962
8,"teams atomic",2,32,132,0,1,28,0,18.703937531
8,"teams atomic",2,32,132,0,1,11,0,19.550323486
8,"teams atomic",2,32,132,0,1,3140,0,69.248676300
8,"teams atomic",2,32,132,0,1,2,0,19.347667694
8,"teams atomic",2,32,132,0,1,758,0,31.602382660
8,"teams atomic",2,32,132,0,1,1218,0,38.146972656
8,"teams atomic",2,32,132,0,1,44,0,18.799304962
8,"teams atomic",2,32,132,0,1,71,0,20.647048950
8,"teams atomic",2,32,132,0,1,114,0,20.349025726
8,"teams atomic",2,32,132,0,1,294,0,23.603439331
8,"teams atomic",2,32,132,0,1,7,0,18.298625946
8,"teams atomic",2,32,132,0,1,183,0,21.350383759
8,"teams atomic",2,32,132,0,1,8096,0,147.700309753
8,"teams atomic",2,32,132,0,1,472,0,26.202201843
8,"teams atomic",2,32,132,0,1,1955,0,49.996376038
8,"teams atomic",2,32,132,0,1,3,0,19.001960754
8,"teams atomic",2,32,132,0,1,5042,0,99.456310272
8,"teams atomic",2,32,132,0,2,3,0,18.298625946
8,"teams atomic",2,32,132,0,2,44,0,20.956993103
8,"teams atomic",2,32,132,0,2,1,0,18.203258514
8,"teams atomic",2,32,132,0,2,183,0,21.147727966
8,"teams atomic",2,32,132,0,2,294,0,23.603439331
8,"teams atomic",2,32,132,0,2,5042,0,99.503993988
8,"teams atomic",2,32,132,0,2,7,0,18.453598022
8,"teams atomic",2,32,132,0,2,8096,0,148.105621338
8,"teams atomic",2,32,132,0,2,2,0,18.000602722
8,"teams atomic",2,32,132,0,2,114,0,20.802021027
8,"teams atomic",2,32,132,0,2,71,0,19.550323486
8,"teams atomic",2,32,132,0,2,1955,0,49.757957458
8,"teams atomic",2,32,132,0,2,17,0,18.405914307
8,"teams atomic",2,32,132,0,2,472,0,26.404857635
8,"teams atomic",2,32,132,0,2,11,0,18.298625946
8,"teams atomic",2,32,132,0,2,1218,0,38.707256317
8,"teams atomic",2,32,132,0,2,4,0,19.347667694
8,"teams atomic",2,32,132,0,2,3140,0,69.499015808
8,"teams atomic",2,32,132,0,2,758,0,30.350685120
8,"teams atomic",2,32,132,0,2,28,0,20.658969879
8,"teams atomic",2,32,132,0,3,11,0,18.608570099
8,"teams atomic",2,32,132,0,3,4,0,18.751621246
8,"teams atomic",2,32,132,0,3,5042,0,99.849700928
8,"teams atomic",2,32,132,0,3,183,0,21.791458130
8,"teams atomic",2,32,132,0,3,17,0,18.596649170
8,"teams atomic",2,32,132,0,3,3,0,18.143653870
8,"teams atomic",2,32,132,0,3,28,0,19.299983978
8,"teams atomic",2,32,132,0,3,1218,0,38.242340088
8,"teams atomic",2,32,132,0,3,114,0,20.599365234
8,"teams atomic",2,32,132,0,3,758,0,31.256675720
8,"teams atomic",2,32,132,0,3,1955,0,49.948692322
8,"teams atomic",2,32,132,0,3,472,0,26.249885559
8,"teams atomic",2,32,132,0,3,7,0,18.453598022
8,"teams atomic",2,32,132,0,3,44,0,19.896030426
8,"teams atomic",2,32,132,0,3,3140,0,69.844722748
8,"teams atomic",2,32,132,0,3,8096,0,147.140026093
8,"teams atomic",2,32,132,0,3,71,0,19.454956055
8,"teams atomic",2,32,132,0,3,1,0,18.548965454
8,"teams atomic",2,32,132,0,3,2,0,18.000602722
8,"teams atomic",2,32,132,0,3,294,0,23.555755615
8,"teams atomic",2,32,132,0,4,3,0,18.250942230
8,"teams atomic",2,32,132,0,4,8096,0,147.807598114
8,"teams atomic",2,32,132,0,4,1,0,18.548965454
8,"teams atomic",2,32,132,0,4,28,0,18.703937531
8,"teams atomic",2,32,132,0,4,17,0,18.703937531
8,"teams atomic",2,32,132,0,4,5042,0,99.205970764
8,"teams atomic",2,32,132,0,4,7,0,18.656253815
8,"teams atomic",2,32,132,0,4,114,0,20.003318787
8,"teams atomic",2,32,132,0,4,44,0,19.347667694
8,"teams atomic",2,32,132,0,4,2,0,18.095970154
8,"teams atomic",2,32,132,0,4,294,0,22.792816162
8,"teams atomic",2,32,132,0,4,758,0,30.601024628
8,"teams atomic",2,32,132,0,4,183,0,21.708011627
8,"teams atomic",2,32,132,0,4,4,0,18.405914307
8,"teams atomic",2,32,132,0,4,1218,0,38.301944733
8,"teams atomic",2,32,132,0,4,71,0,19.943714142
8,"teams atomic",2,32,132,0,4,1955,0,49.746036530
8,"teams atomic",2,32,132,0,4,11,0,18.453598022
8,"teams atomic",2,32,132,0,4,472,0,26.595592499
8,"teams atomic",2,32,132,0,4,3140,0,69.594383240
8,"teams atomic",2,32,132,1,0,2,0,18.155574799
8,"teams atomic",2,32,132,1,0,4,0,18.608570099
8,"teams atomic",2,32,132,1,0,472,0,26.059150696
8,"teams atomic",2,32,132,1,0,3140,0,69.200992584
8,"teams atomic",2,32,132,1,0,183,0,24.008750916
8,"teams atomic",2,32,132,1,0,28,0,19.645690918
8,"teams atomic",2,32,132,1,0,71,0,21.350383759
8,"teams atomic",2,32,132,1,0,1218,0,39.255619049
8,"teams atomic",2,32,132,1,0,294,0,23.353099823
8,"teams atomic",2,32,132,1,0,1,0,18.703937531
8,"teams atomic",2,32,132,1,0,7,0,18.453598022
8,"teams atomic",2,32,132,1,0,1955,0,50.306320190
8,"teams atomic",2,32,132,1,0,758,0,31.006336212
8,"teams atomic",2,32,132,1,0,114,0,20.051002502
8,"teams atomic",2,32,132,1,0,11,0,18.644332886
8,"teams atomic",2,32,132,1,0,3,0,18.155574799
8,"teams atomic",2,32,132,1,0,8096,0,147.151947021
8,"teams atomic",2,32,132,1,0,44,0,19.752979279
8,"teams atomic",2,32,132,1,0,17,0,18.548965454
8,"teams atomic",2,32,132,1,0,5042,0,98.752975464
8,"teams atomic",2,32,132,1,1,758,0,30.601024628
8,"teams atomic",2,32,132,1,1,3,0,18.191337585
8,"teams atomic",2,32,132,1,1,3140,0,69.093704224
8,"teams atomic",2,32,132,1,1,1955,0,51.248073578
8,"teams atomic",2,32,132,1,1,44,0,19.943714142
8,"teams atomic",2,32,132,1,1,17,0,19.407272339
8,"teams atomic",2,32,132,1,1,294,0,24.306774139
8,"teams atomic",2,32,132,1,1,28,0,19.454956055
8,"teams atomic",2,32,132,1,1,114,0,21.803379059
8,"teams atomic",2,32,132,1,1,2,0,18.751621246
8,"teams atomic",2,32,132,1,1,7,0,19.001960754
8,"teams atomic",2,32,132,1,1,183,0,23.448467255
8,"teams atomic",2,32,132,1,1,8096,0,148.499011993
8,"teams atomic",2,32,132,1,1,11,0,18.548965454
8,"teams atomic",2,32,132,1,1,1,0,19.598007202
8,"teams atomic",2,32,132,1,1,1218,0,38.945674896
8,"teams atomic",2,32,132,1,1,472,0,27.394294739
8,"teams atomic",2,32,132,1,1,71,0,19.550323486
8,"teams atomic",2,32,132,1,1,5042,0,99.396705627
8,"teams atomic",2,32,132,1,1,4,0,19.097328186
8,"teams atomic",2,32,132,1,2,2,0,18.048286438
8,"teams atomic",2,32,132,1,2,71,0,19.454956055
8,"teams atomic",2,32,132,1,2,17,0,19.705295563
8,"teams atomic",2,32,132,1,2,472,0,25.796890259
8,"teams atomic",2,32,132,1,2,5042,0,99.098682404
8,"teams atomic",2,32,132,1,2,28,0,18.906593323
8,"teams atomic",2,32,132,1,2,44,0,19.741058350
8,"teams atomic",2,32,132,1,2,1218,0,38.146972656
8,"teams atomic",2,32,132,1,2,4,0,18.501281738
8,"teams atomic",2,32,132,1,2,1955,0,49.948692322
8,"teams atomic",2,32,132,1,2,183,0,21.660327911
8,"teams atomic",2,32,132,1,2,7,0,18.739700317
8,"teams atomic",2,32,132,1,2,758,0,30.493736267
8,"teams atomic",2,32,132,1,2,1,0,18.954277039
8,"teams atomic",2,32,132,1,2,3140,0,69.296360016
8,"teams atomic",2,32,132,1,2,8096,0,147.795677185
8,"teams atomic",2,32,132,1,2,3,0,18.143653870
8,"teams atomic",2,32,132,1,2,114,0,20.802021027
8,"teams atomic",2,32,132,1,2,11,0,18.203258514
8,"teams atomic",2,32,132,1,2,294,0,23.651123047
8,"teams atomic",2,32,132,1,3,1,0,18.250942230
8,"teams atomic",2,32,132,1,3,17,0,18.453598022
8,"teams atomic",2,32,132,1,3,294,0,22.804737091
8,"teams atomic",2,32,132,1,3,5042,0,99.194049835
8,"teams atomic",2,32,132,1,3,114,0,20.396709442
8,"teams atomic",2,32,132,1,3,28,0,19.705295563
8,"teams atomic",2,32,132,1,3,1218,0,38.659572601
8,"teams atomic",2,32,132,1,3,2,0,18.298625946
8,"teams atomic",2,32,132,1,3,3,0,18.453598022
8,"teams atomic",2,32,132,1,3,4,0,18.453598022
8,"teams atomic",2,32,132,1,3,758,0,30.291080475
8,"teams atomic",2,32,132,1,3,11,0,18.846988678
8,"teams atomic",2,32,132,1,3,44,0,19.454956055
8,"teams atomic",2,32,132,1,3,472,0,28.240680695
8,"teams atomic",2,32,132,1,3,7,0,18.453598022
8,"teams atomic",2,32,132,1,3,1955,0,49.996376038
8,"teams atomic",2,32,132,1,3,71,0,19.657611847
8,"teams atomic",2,32,132,1,3,183,0,21.743774414
8,"teams atomic",2,32,132,1,3,8096,0,147.855281830
8,"teams atomic",2,32,132,1,3,3140,0,68.807601929
8,"teams atomic",2,32,132,1,4,472,0,25.951862335
8,"teams atomic",2,32,132,1,4,71,0,19.752979279
8,"teams atomic",2,32,132,1,4,1,0,18.608570099
8,"teams atomic",2,32,132,1,4,11,0,18.846988678
8,"teams atomic",2,32,132,1,4,4,0,19.049644470
8,"teams atomic",2,32,132,1,4,3140,0,69.105625153
8,"teams atomic",2,32,132,1,4,28,0,19.454956055
8,"teams atomic",2,32,132,1,4,1218,0,38.897991180
8,"teams atomic",2,32,132,1,4,2,0,18.501281738
8,"teams atomic",2,32,132,1,4,183,0,22.351741791
8,"teams atomic",2,32,132,1,4,5042,0,99.253654480
8,"teams atomic",2,32,132,1,4,114,0,20.897388458
8,"teams atomic",2,32,132,1,4,3,0,18.095970154
8,"teams atomic",2,32,132,1,4,44,0,20.396709442
8,"teams atomic",2,32,132,1,4,758,0,30.648708344
8,"teams atomic",2,32,132,1,4,8096,0,147.294998169
8,"teams atomic",2,32,132,1,4,1955,0,50.008296967
8,"teams atomic",2,32,132,1,4,294,0,23.448467255
8,"teams atomic",2,32,132,1,4,7,0,18.298625946
8,"teams atomic",2,32,132,1,4,17,0,19.097328186
8,"teams atomic",4,32,132,0,0,7,0,16.355514526
8,"teams atomic",4,32,132,0,0,114,0,17.857551575
8,"teams atomic",4,32,132,0,0,3,0,16.343593597
8,"teams atomic",4,32,132,0,0,17,0,16.152858734
8,"teams atomic",4,32,132,0,0,1,0,15.997886658
8,"teams atomic",4,32,132,0,0,44,0,16.903877258
8,"teams atomic",4,32,132,0,0,294,0,21.505355835
8,"teams atomic",4,32,132,0,0,3140,0,66.602230072
8,"teams atomic",4,32,132,0,0,4,0,16.152858734
8,"teams atomic",4,32,132,0,0,1955,0,47.242641449
8,"teams atomic",4,32,132,0,0,183,0,19.657611847
8,"teams atomic",4,32,132,0,0,8096,0,145.447254181
8,"teams atomic",4,32,132,0,0,758,0,28.800964355
8,"teams atomic",4,32,132,0,0,71,0,17.297267914
8,"teams atomic",4,32,132,0,0,2,0,15.902519226
8,"teams atomic",4,32,132,0,0,11,0,15.902519226
8,"teams atomic",4,32,132,0,0,28,0,17.452239990
8,"teams atomic",4,32,132,0,0,5042,0,96.797943115
8,"teams atomic",4,32,132,0,0,1218,0,36.096572876
8,"teams atomic",4,32,132,0,0,472,0,23.591518402
8,"teams atomic",4,32,132,0,1,4,0,16.057491302
8,"teams atomic",4,32,132,0,1,1,0,15.556812286
8,"teams atomic",4,32,132,0,1,17,0,16.748905182
8,"teams atomic",4,32,132,0,1,28,0,16.105175018
8,"teams atomic",4,32,132,0,1,11,0,16.009807587
8,"teams atomic",4,32,132,0,1,3140,0,67.305564880
8,"teams atomic",4,32,132,0,1,2,0,15.902519226
8,"teams atomic",4,32,132,0,1,758,0,28.157234192
8,"teams atomic",4,32,132,0,1,1218,0,35.405158997
8,"teams atomic",4,32,132,0,1,44,0,17.094612122
8,"teams atomic",4,32,132,0,1,71,0,17.154216766
8,"teams atomic",4,32,132,0,1,114,0,17.547607422
8,"teams atomic",4,32,132,0,1,294,0,20.849704742
8,"teams atomic",4,32,132,0,1,7,0,15.890598297
8,"teams atomic",4,32,132,0,1,183,0,19.156932831
8,"teams atomic",4,32,132,0,1,8096,0,144.946575165
8,"teams atomic",4,32,132,0,1,472,0,23.508071899
