method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
11,"teams + parallel inside",1,32,132,0,0,7,0,17.690658569
11,"teams + parallel inside",1,32,132,0,0,114,0,19.252300262
11,"teams + parallel inside",1,32,132,0,0,3,0,17.201900482
11,"teams + parallel inside",1,32,132,0,0,17,0,19.204616547
11,"teams + parallel inside",1,32,132,0,0,1,0,23.102760315
11,"teams + parallel inside",1,32,132,0,0,44,0,17.595291138
11,"teams + parallel inside",1,32,132,0,0,294,0,21.398067474
11,"teams + parallel inside",1,32,132,0,0,3140,0,52.154064178
11,"teams + parallel inside",1,32,132,0,0,4,0,18.799304962
11,"teams + parallel inside",1,32,132,0,0,1955,0,39.052963257
11,"teams + parallel inside",1,32,132,0,0,183,0,22.196769714
11,"teams + parallel inside",1,32,132,0,0,8096,0,103.545188904
11,"teams + parallel inside",1,32,132,0,0,758,0,26.094913483
11,"teams + parallel inside",1,32,132,0,0,71,0,17.690658569
11,"teams + parallel inside",1,32,132,0,0,2,0,17.356872559
11,"teams + parallel inside",1,32,132,0,0,11,0,19.598007202
11,"teams + parallel inside",1,32,132,0,0,28,0,18.906593323
11,"teams + parallel inside",1,32,132,0,0,5042,0,71.549415588
11,"teams + parallel inside",1,32,132,0,0,1218,0,32.901763916
11,"teams + parallel inside",1,32,132,0,0,472,0,22.006034851
11,"teams + parallel inside",1,32,132,0,1,4,0,20.897388458
11,"teams + parallel inside",1,32,132,0,1,1,0,18.644332886
11,"teams + parallel inside",1,32,132,0,1,17,0,19.156932831
11,"teams + parallel inside",1,32,132,0,1,28,0,18.894672394
11,"teams + parallel inside",1,32,132,0,1,11,0,18.489360809
11,"teams + parallel inside",1,32,132,0,1,3140,0,52.797794342
11,"teams + parallel inside",1,32,132,0,1,2,0,16.140937805
11,"teams + parallel inside",1,32,132,0,1,758,0,25.761127472
11,"teams + parallel inside",1,32,132,0,1,1218,0,30.601024628
11,"teams + parallel inside",1,32,132,0,1,44,0,18.048286438
11,"teams + parallel inside",1,32,132,0,1,71,0,18.203258514
11,"teams + parallel inside",1,32,132,0,1,114,0,18.453598022
11,"teams + parallel inside",1,32,132,0,1,294,0,21.207332611
11,"teams + parallel inside",1,32,132,0,1,7,0,17.046928406
11,"teams + parallel inside",1,32,132,0,1,183,0,19.097328186
11,"teams + parallel inside",1,32,132,0,1,8096,0,102.400779724
11,"teams + parallel inside",1,32,132,0,1,472,0,22.149085999
11,"teams + parallel inside",1,32,132,0,1,1955,0,37.705898285
11,"teams + parallel inside",1,32,132,0,1,3,0,17.094612122
11,"teams + parallel inside",1,32,132,0,1,5042,0,69.844722748
11,"teams + parallel inside",1,32,132,0,2,3,0,18.906593323
11,"teams + parallel inside",1,32,132,0,2,44,0,21.207332611
11,"teams + parallel inside",1,32,132,0,2,1,0,19.896030426
11,"teams + parallel inside",1,32,132,0,2,183,0,22.745132446
11,"teams + parallel inside",1,32,132,0,2,294,0,21.004676819
11,"teams + parallel inside",1,32,132,0,2,5042,0,72.395801544
11,"teams + parallel inside",1,32,132,0,2,7,0,18.703937531
11,"teams + parallel inside",1,32,132,0,2,8096,0,104.749202728
11,"teams + parallel inside",1,32,132,0,2,2,0,14.793872833
11,"teams + parallel inside",1,32,132,0,2,114,0,21.004676819
11,"teams + parallel inside",1,32,132,0,2,71,0,17.750263214
11,"teams + parallel inside",1,32,132,0,2,1955,0,39.052963257
11,"teams + parallel inside",1,32,132,0,2,17,0,19.395351410
11,"teams + parallel inside",1,32,132,0,2,472,0,24.950504303
11,"teams + parallel inside",1,32,132,0,2,11,0,18.906593323
11,"teams + parallel inside",1,32,132,0,2,1218,0,31.352043152
11,"teams + parallel inside",1,32,132,0,2,4,0,17.750263214
11,"teams + parallel inside",1,32,132,0,2,3140,0,52.046775818
11,"teams + parallel inside",1,32,132,0,2,758,0,27.942657471
11,"teams + parallel inside",1,32,132,0,2,28,0,18.060207367
11,"teams + parallel inside",1,32,132,0,3,11,0,18.095970154
11,"teams + parallel inside",1,32,132,0,3,4,0,17.249584198
11,"teams + parallel inside",1,32,132,0,3,5042,0,70.393085480
11,"teams + parallel inside",1,32,132,0,3,183,0,20.205974579
11,"teams + parallel inside",1,32,132,0,3,17,0,17.344951630
11,"teams + parallel inside",1,32,132,0,3,3,0,17.797946930
11,"teams + parallel inside",1,32,132,0,3,28,0,19.896030426
11,"teams + parallel inside",1,32,132,0,3,1218,0,29.098987579
11,"teams + parallel inside",1,32,132,0,3,114,0,18.095970154
11,"teams + parallel inside",1,32,132,0,3,758,0,26.392936707
11,"teams + parallel inside",1,32,132,0,3,1955,0,38.850307465
11,"teams + parallel inside",1,32,132,0,3,472,0,23.496150970
11,"teams + parallel inside",1,32,132,0,3,7,0,17.797946930
11,"teams + parallel inside",1,32,132,0,3,44,0,18.250942230
11,"teams + parallel inside",1,32,132,0,3,3140,0,50.294399261
11,"teams + parallel inside",1,32,132,0,3,8096,0,103.354454041
11,"teams + parallel inside",1,32,132,0,3,71,0,20.396709442
11,"teams + parallel inside",1,32,132,0,3,1,0,16.891956329
11,"teams + parallel inside",1,32,132,0,3,2,0,18.298625946
11,"teams + parallel inside",1,32,132,0,3,294,0,22.244453430
11,"teams + parallel inside",1,32,132,0,4,3,0,20.861625671
11,"teams + parallel inside",1,32,132,0,4,8096,0,104.153156281
11,"teams + parallel inside",1,32,132,0,4,1,0,17.106533051
11,"teams + parallel inside",1,32,132,0,4,28,0,17.905235291
11,"teams + parallel inside",1,32,132,0,4,17,0,19.550323486
11,"teams + parallel inside",1,32,132,0,4,5042,0,72.193145752
11,"teams + parallel inside",1,32,132,0,4,7,0,17.905235291
11,"teams + parallel inside",1,32,132,0,4,114,0,18.703937531
11,"teams + parallel inside",1,32,132,0,4,44,0,17.249584198
11,"teams + parallel inside",1,32,132,0,4,2,0,15.807151794
11,"teams + parallel inside",1,32,132,0,4,294,0,20.647048950
11,"teams + parallel inside",1,32,132,0,4,758,0,26.547908783
11,"teams + parallel inside",1,32,132,0,4,183,0,20.349025726
11,"teams + parallel inside",1,32,132,0,4,4,0,19.454956055
11,"teams + parallel inside",1,32,132,0,4,1218,0,31.542778015
11,"teams + parallel inside",1,32,132,0,4,71,0,18.703937531
11,"teams + parallel inside",1,32,132,0,4,1955,0,40.102005005
11,"teams + parallel inside",1,32,132,0,4,11,0,16.748905182
11,"teams + parallel inside",1,32,132,0,4,472,0,21.100044250
11,"teams + parallel inside",1,32,132,0,4,3140,0,51.105022430
11,"teams + parallel inside",1,32,132,1,0,2,0,18.203258514
11,"teams + parallel inside",1,32,132,1,0,4,0,16.701221466
11,"teams + parallel inside",1,32,132,1,0,472,0,22.661685944
11,"teams + parallel inside",1,32,132,1,0,3140,0,51.653385162
11,"teams + parallel inside",1,32,132,1,0,183,0,20.694732666
11,"teams + parallel inside",1,32,132,1,0,28,0,18.346309662
11,"teams + parallel inside",1,32,132,1,0,71,0,20.802021027
11,"teams + parallel inside",1,32,132,1,0,1218,0,30.255317688
11,"teams + parallel inside",1,32,132,1,0,294,0,20.956993103
11,"teams + parallel inside",1,32,132,1,0,1,0,17.750263214
11,"teams + parallel inside",1,32,132,1,0,7,0,17.797946930
11,"teams + parallel inside",1,32,132,1,0,1955,0,38.301944733
11,"teams + parallel inside",1,32,132,1,0,758,0,25.045871735
11,"teams + parallel inside",1,32,132,1,0,114,0,18.239021301
11,"teams + parallel inside",1,32,132,1,0,11,0,18.501281738
11,"teams + parallel inside",1,32,132,1,0,3,0,19.490718842
11,"teams + parallel inside",1,32,132,1,0,8096,0,103.604793549
11,"teams + parallel inside",1,32,132,1,0,44,0,20.253658295
11,"teams + parallel inside",1,32,132,1,0,17,0,17.857551575
11,"teams + parallel inside",1,32,132,1,0,5042,0,72.550773621
11,"teams + parallel inside",1,32,132,1,1,758,0,29.504299164
11,"teams + parallel inside",1,32,132,1,1,3,0,19.395351410
11,"teams + parallel inside",1,32,132,1,1,3140,0,51.593780518
11,"teams + parallel inside",1,32,132,1,1,1955,0,39.350986481
11,"teams + parallel inside",1,32,132,1,1,44,0,19.204616547
11,"teams + parallel inside",1,32,132,1,1,17,0,17.702579498
11,"teams + parallel inside",1,32,132,1,1,294,0,19.299983978
11,"teams + parallel inside",1,32,132,1,1,28,0,18.405914307
11,"teams + parallel inside",1,32,132,1,1,114,0,21.147727966
11,"teams + parallel inside",1,32,132,1,1,2,0,18.954277039
11,"teams + parallel inside",1,32,132,1,1,7,0,18.000602722
11,"teams + parallel inside",1,32,132,1,1,183,0,20.694732666
11,"teams + parallel inside",1,32,132,1,1,8096,0,102.961063385
11,"teams + parallel inside",1,32,132,1,1,11,0,15.807151794
11,"teams + parallel inside",1,32,132,1,1,1,0,16.903877258
11,"teams + parallel inside",1,32,132,1,1,1218,0,32.448768616
11,"teams + parallel inside",1,32,132,1,1,472,0,23.305416107
11,"teams + parallel inside",1,32,132,1,1,71,0,18.441677094
11,"teams + parallel inside",1,32,132,1,1,5042,0,71.454048157
11,"teams + parallel inside",1,32,132,1,1,4,0,17.046928406
11,"teams + parallel inside",1,32,132,1,2,2,0,18.191337585
11,"teams + parallel inside",1,32,132,1,2,71,0,19.347667694
11,"teams + parallel inside",1,32,132,1,2,17,0,23.794174194
11,"teams + parallel inside",1,32,132,1,2,472,0,30.207633972
11,"teams + parallel inside",1,32,132,1,2,5042,0,73.599815369
11,"teams + parallel inside",1,32,132,1,2,28,0,17.154216766
11,"teams + parallel inside",1,32,132,1,2,44,0,18.703937531
11,"teams + parallel inside",1,32,132,1,2,1218,0,28.908252716
11,"teams + parallel inside",1,32,132,1,2,4,0,17.261505127
11,"teams + parallel inside",1,32,132,1,2,1955,0,38.397312164
11,"teams + parallel inside",1,32,132,1,2,183,0,19.645690918
11,"teams + parallel inside",1,32,132,1,2,7,0,17.690658569
11,"teams + parallel inside",1,32,132,1,2,758,0,24.843215942
11,"teams + parallel inside",1,32,132,1,2,1,0,19.001960754
11,"teams + parallel inside",1,32,132,1,2,3140,0,52.547454834
11,"teams + parallel inside",1,32,132,1,2,8096,0,104.498863220
11,"teams + parallel inside",1,32,132,1,2,3,0,19.192695618
11,"teams + parallel inside",1,32,132,1,2,114,0,19.657611847
11,"teams + parallel inside",1,32,132,1,2,11,0,18.000602722
11,"teams + parallel inside",1,32,132,1,2,294,0,23.806095123
11,"teams + parallel inside",1,32,132,1,3,1,0,17.344951630
11,"teams + parallel inside",1,32,132,1,3,17,0,19.097328186
11,"teams + parallel inside",1,32,132,1,3,294,0,21.898746490
11,"teams + parallel inside",1,32,132,1,3,5042,0,70.655345917
11,"teams + parallel inside",1,32,132,1,3,114,0,19.347667694
11,"teams + parallel inside",1,32,132,1,3,28,0,18.393993378
11,"teams + parallel inside",1,32,132,1,3,1218,0,29.456615448
11,"teams + parallel inside",1,32,132,1,3,2,0,19.800662994
11,"teams + parallel inside",1,32,132,1,3,3,0,19.598007202
11,"teams + parallel inside",1,32,132,1,3,4,0,19.145011902
11,"teams + parallel inside",1,32,132,1,3,758,0,26.500225067
11,"teams + parallel inside",1,32,132,1,3,11,0,19.252300262
11,"teams + parallel inside",1,32,132,1,3,44,0,17.094612122
11,"teams + parallel inside",1,32,132,1,3,472,0,23.746490479
11,"teams + parallel inside",1,32,132,1,3,7,0,18.954277039
11,"teams + parallel inside",1,32,132,1,3,1955,0,39.398670197
11,"teams + parallel inside",1,32,132,1,3,71,0,19.299983978
11,"teams + parallel inside",1,32,132,1,3,183,0,19.252300262
11,"teams + parallel inside",1,32,132,1,3,8096,0,103.998184204
11,"teams + parallel inside",1,32,132,1,3,3140,0,51.796436310
11,"teams + parallel inside",1,32,132,1,4,472,0,24.247169495
11,"teams + parallel inside",1,32,132,1,4,71,0,20.051002502
11,"teams + parallel inside",1,32,132,1,4,1,0,17.154216766
11,"teams + parallel inside",1,32,132,1,4,11,0,18.203258514
11,"teams + parallel inside",1,32,132,1,4,4,0,18.894672394
11,"teams + parallel inside",1,32,132,1,4,3140,0,51.856040955
11,"teams + parallel inside",1,32,132,1,4,28,0,16.903877258
11,"teams + parallel inside",1,32,132,1,4,1218,0,29.647350311
11,"teams + parallel inside",1,32,132,1,4,2,0,17.142295837
11,"teams + parallel inside",1,32,132,1,4,183,0,20.444393158
11,"teams + parallel inside",1,32,132,1,4,5042,0,72.002410889
11,"teams + parallel inside",1,32,132,1,4,114,0,25.355815887
11,"teams + parallel inside",1,32,132,1,4,3,0,17.988681793
11,"teams + parallel inside",1,32,132,1,4,44,0,23.603439331
11,"teams + parallel inside",1,32,132,1,4,758,0,26.655197144
11,"teams + parallel inside",1,32,132,1,4,8096,0,103.902816772
11,"teams + parallel inside",1,32,132,1,4,1955,0,39.756298065
11,"teams + parallel inside",1,32,132,1,4,294,0,21.660327911
11,"teams + parallel inside",1,32,132,1,4,7,0,19.204616547
11,"teams + parallel inside",1,32,132,1,4,17,0,16.307830811
11,"teams + parallel inside",2,32,132,0,0,7,0,18.346309662
11,"teams + parallel inside",2,32,132,0,0,114,0,20.551681519
11,"teams + parallel inside",2,32,132,0,0,3,0,21.243095398
11,"teams + parallel inside",2,32,132,0,0,17,0,21.994113922
11,"teams + parallel inside",2,32,132,0,0,1,0,17.249584198
11,"teams + parallel inside",2,32,132,0,0,44,0,20.194053650
11,"teams + parallel inside",2,32,132,0,0,294,0,25.093555450
11,"teams + parallel inside",2,32,132,0,0,3140,0,85.151195526
11,"teams + parallel inside",2,32,132,0,0,4,0,17.607212067
11,"teams + parallel inside",2,32,132,0,0,1955,0,62.000751495
11,"teams + parallel inside",2,32,132,0,0,183,0,23.150444031
11,"teams + parallel inside",2,32,132,0,0,8096,0,186.598300934
11,"teams + parallel inside",2,32,132,0,0,758,0,34.058094025
11,"teams + parallel inside",2,32,132,0,0,71,0,19.598007202
11,"teams + parallel inside",2,32,132,0,0,2,0,18.954277039
11,"teams + parallel inside",2,32,132,0,0,11,0,19.443035126
11,"teams + parallel inside",2,32,132,0,0,28,0,19.145011902
11,"teams + parallel inside",2,32,132,0,0,5042,0,124.955177307
11,"teams + parallel inside",2,32,132,0,0,1218,0,45.800209045
