method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
5,"teams (scalar)",16382,32,132,0,0,7,0,500.470958650
5,"teams (scalar)",16382,32,132,0,0,114,0,506.649725139
5,"teams (scalar)",16382,32,132,0,0,3,0,503.129698336
5,"teams (scalar)",16382,32,132,0,0,17,0,500.442832708
5,"teams (scalar)",16382,32,132,0,0,1,0,498.865917325
5,"teams (scalar)",16382,32,132,0,0,44,0,499.420054257
5,"teams (scalar)",16382,32,132,0,0,294,0,533.586367965
5,"teams (scalar)",16382,32,132,0,0,3140,0,754.056125879
5,"teams (scalar)",16382,32,132,0,0,4,0,505.319423974
5,"teams (scalar)",16382,32,132,0,0,1955,0,657.372921705
5,"teams (scalar)",16382,32,132,0,0,183,0,511.766225100
5,"teams (scalar)",16382,32,132,0,0,8096,0,1164.267770946
5,"teams (scalar)",16382,32,132,0,0,758,0,560.749508440
5,"teams (scalar)",16382,32,132,0,0,71,0,505.548529327
5,"teams (scalar)",16382,32,132,0,0,2,0,503.855384886
5,"teams (scalar)",16382,32,132,0,0,11,0,504.694692791
5,"teams (scalar)",16382,32,132,0,0,28,0,507.933087647
5,"teams (scalar)",16382,32,132,0,0,5042,0,914.325751364
5,"teams (scalar)",16382,32,132,0,0,1218,0,607.561506331
5,"teams (scalar)",16382,32,132,0,0,472,0,543.483160436
5,"teams (scalar)",16382,32,132,0,1,4,0,505.689531565
5,"teams (scalar)",16382,32,132,0,1,1,0,503.824464977
5,"teams (scalar)",16382,32,132,0,1,17,0,509.728491306
5,"teams (scalar)",16382,32,132,0,1,28,0,507.431477308
5,"teams (scalar)",16382,32,132,0,1,11,0,491.658225656
5,"teams (scalar)",16382,32,132,0,1,3140,0,782.637856901
5,"teams (scalar)",16382,32,132,0,1,2,0,523.476488888
5,"teams (scalar)",16382,32,132,0,1,758,0,591.466948390
5,"teams (scalar)",16382,32,132,0,1,1218,0,655.547343194
5,"teams (scalar)",16382,32,132,0,1,44,0,532.992742956
5,"teams (scalar)",16382,32,132,0,1,71,0,506.678223610
5,"teams (scalar)",16382,32,132,0,1,114,0,504.785589874
5,"teams (scalar)",16382,32,132,0,1,294,0,521.178171039
5,"teams (scalar)",16382,32,132,0,1,7,0,520.650856197
5,"teams (scalar)",16382,32,132,0,1,183,0,516.238808632
5,"teams (scalar)",16382,32,132,0,1,8096,0,1148.944906890
5,"teams (scalar)",16382,32,132,0,1,472,0,538.159348071
5,"teams (scalar)",16382,32,132,0,1,1955,0,654.155015945
5,"teams (scalar)",16382,32,132,0,1,3,0,509.739853442
5,"teams (scalar)",16382,32,132,0,1,5042,0,909.281894565
5,"teams (scalar)",16382,32,132,0,2,3,0,495.632179081
5,"teams (scalar)",16382,32,132,0,2,44,0,495.695136487
5,"teams (scalar)",16382,32,132,0,2,1,0,507.161952555
5,"teams (scalar)",16382,32,132,0,2,183,0,515.139102936
5,"teams (scalar)",16382,32,132,0,2,294,0,488.094054163
5,"teams (scalar)",16382,32,132,0,2,5042,0,891.287252307
5,"teams (scalar)",16382,32,132,0,2,7,0,515.013374388
5,"teams (scalar)",16382,32,132,0,2,8096,0,1174.166612327
5,"teams (scalar)",16382,32,132,0,2,2,0,524.203293025
5,"teams (scalar)",16382,32,132,0,2,114,0,517.007149756
5,"teams (scalar)",16382,32,132,0,2,71,0,498.191080987
5,"teams (scalar)",16382,32,132,0,2,1955,0,652.701780200
5,"teams (scalar)",16382,32,132,0,2,17,0,496.046245098
5,"teams (scalar)",16382,32,132,0,2,472,0,534.409284592
5,"teams (scalar)",16382,32,132,0,2,11,0,499.765202403
5,"teams (scalar)",16382,32,132,0,2,1218,0,603.633932769
5,"teams (scalar)",16382,32,132,0,2,4,0,495.599023998
5,"teams (scalar)",16382,32,132,0,2,3140,0,744.262151420
