method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
11,"teams + parallel inside",1,32,132,0,0,7,0,20.349025726
11,"teams + parallel inside",1,32,132,0,0,114,0,18.250942230
11,"teams + parallel inside",1,32,132,0,0,3,0,19.049644470
11,"teams + parallel inside",1,32,132,0,0,17,0,19.848346710
11,"teams + parallel inside",1,32,132,0,0,1,0,19.741058350
11,"teams + parallel inside",1,32,132,0,0,44,0,19.145011902
11,"teams + parallel inside",1,32,132,0,0,294,0,22.447109222
11,"teams + parallel inside",1,32,132,0,0,3140,0,51.653385162
11,"teams + parallel inside",1,32,132,0,0,4,0,19.896030426
11,"teams + parallel inside",1,32,132,0,0,1955,0,39.803981781
11,"teams + parallel inside",1,32,132,0,0,183,0,21.398067474
11,"teams + parallel inside",1,32,132,0,0,8096,0,103.199481964
11,"teams + parallel inside",1,32,132,0,0,758,0,27.251243591
11,"teams + parallel inside",1,32,132,0,0,71,0,20.253658295
11,"teams + parallel inside",1,32,132,0,0,2,0,20.658969879
11,"teams + parallel inside",1,32,132,0,0,11,0,19.896030426
11,"teams + parallel inside",1,32,132,0,0,28,0,19.848346710
11,"teams + parallel inside",1,32,132,0,0,5042,0,71.144104004
11,"teams + parallel inside",1,32,132,0,0,1218,0,32.091140747
11,"teams + parallel inside",1,32,132,0,0,472,0,22.995471954
11,"teams + parallel inside",1,32,132,0,1,4,0,19.252300262
11,"teams + parallel inside",1,32,132,0,1,1,0,19.407272339
11,"teams + parallel inside",1,32,132,0,1,17,0,19.943714142
11,"teams + parallel inside",1,32,132,0,1,28,0,19.097328186
11,"teams + parallel inside",1,32,132,0,1,11,0,19.502639771
11,"teams + parallel inside",1,32,132,0,1,3140,0,52.797794342
11,"teams + parallel inside",1,32,132,0,1,2,0,19.550323486
11,"teams + parallel inside",1,32,132,0,1,758,0,27.859210968
11,"teams + parallel inside",1,32,132,0,1,1218,0,32.401084900
11,"teams + parallel inside",1,32,132,0,1,44,0,20.599365234
11,"teams + parallel inside",1,32,132,0,1,71,0,20.349025726
11,"teams + parallel inside",1,32,132,0,1,114,0,21.445751190
11,"teams + parallel inside",1,32,132,0,1,294,0,22.447109222
11,"teams + parallel inside",1,32,132,0,1,7,0,19.657611847
11,"teams + parallel inside",1,32,132,0,1,183,0,20.396709442
11,"teams + parallel inside",1,32,132,0,1,8096,0,103.497505188
11,"teams + parallel inside",1,32,132,0,1,472,0,23.841857910
11,"teams + parallel inside",1,32,132,0,1,1955,0,39.446353912
11,"teams + parallel inside",1,32,132,0,1,3,0,19.240379333
11,"teams + parallel inside",1,32,132,0,1,5042,0,71.394443512
11,"teams + parallel inside",1,32,132,0,2,3,0,18.596649170
11,"teams + parallel inside",1,32,132,0,2,44,0,20.003318787
11,"teams + parallel inside",1,32,132,0,2,1,0,19.955635071
11,"teams + parallel inside",1,32,132,0,2,183,0,20.658969879
11,"teams + parallel inside",1,32,132,0,2,294,0,22.399425507
11,"teams + parallel inside",1,32,132,0,2,5042,0,71.454048157
11,"teams + parallel inside",1,32,132,0,2,7,0,19.800662994
11,"teams + parallel inside",1,32,132,0,2,8096,0,103.449821472
11,"teams + parallel inside",1,32,132,0,2,2,0,18.656253815
11,"teams + parallel inside",1,32,132,0,2,114,0,21.350383759
11,"teams + parallel inside",1,32,132,0,2,71,0,19.896030426
11,"teams + parallel inside",1,32,132,0,2,1955,0,39.196014404
11,"teams + parallel inside",1,32,132,0,2,17,0,19.860267639
11,"teams + parallel inside",1,32,132,0,2,472,0,24.855136871
11,"teams + parallel inside",1,32,132,0,2,11,0,19.145011902
11,"teams + parallel inside",1,32,132,0,2,1218,0,32.448768616
11,"teams + parallel inside",1,32,132,0,2,4,0,19.943714142
11,"teams + parallel inside",1,32,132,0,2,3140,0,51.856040955
11,"teams + parallel inside",1,32,132,0,2,758,0,28.645992279
11,"teams + parallel inside",1,32,132,0,2,28,0,20.849704742
11,"teams + parallel inside",1,32,132,0,3,11,0,19.252300262
11,"teams + parallel inside",1,32,132,0,3,4,0,20.694732666
11,"teams + parallel inside",1,32,132,0,3,5042,0,72.097778320
11,"teams + parallel inside",1,32,132,0,3,183,0,22.399425507
11,"teams + parallel inside",1,32,132,0,3,17,0,19.550323486
11,"teams + parallel inside",1,32,132,0,3,3,0,20.003318787
11,"teams + parallel inside",1,32,132,0,3,28,0,19.645690918
11,"teams + parallel inside",1,32,132,0,3,1218,0,33.044815063
11,"teams + parallel inside",1,32,132,0,3,114,0,19.001960754
11,"teams + parallel inside",1,32,132,0,3,758,0,27.954578400
11,"teams + parallel inside",1,32,132,0,3,1955,0,39.291381836
11,"teams + parallel inside",1,32,132,0,3,472,0,25.653839111
11,"teams + parallel inside",1,32,132,0,3,7,0,18.799304962
11,"teams + parallel inside",1,32,132,0,3,44,0,20.456314087
11,"teams + parallel inside",1,32,132,0,3,3140,0,51.438808441
11,"teams + parallel inside",1,32,132,0,3,8096,0,102.496147156
11,"teams + parallel inside",1,32,132,0,3,71,0,19.896030426
11,"teams + parallel inside",1,32,132,0,3,1,0,19.896030426
11,"teams + parallel inside",1,32,132,0,3,2,0,20.658969879
11,"teams + parallel inside",1,32,132,0,3,294,0,21.398067474
11,"teams + parallel inside",1,32,132,0,4,3,0,20.098686218
11,"teams + parallel inside",1,32,132,0,4,8096,0,102.746486664
11,"teams + parallel inside",1,32,132,0,4,1,0,19.705295563
11,"teams + parallel inside",1,32,132,0,4,28,0,18.894672394
11,"teams + parallel inside",1,32,132,0,4,17,0,19.550323486
11,"teams + parallel inside",1,32,132,0,4,5042,0,71.096420288
11,"teams + parallel inside",1,32,132,0,4,7,0,19.896030426
11,"teams + parallel inside",1,32,132,0,4,114,0,20.647048950
11,"teams + parallel inside",1,32,132,0,4,44,0,19.752979279
11,"teams + parallel inside",1,32,132,0,4,2,0,19.943714142
11,"teams + parallel inside",1,32,132,0,4,294,0,22.101402283
11,"teams + parallel inside",1,32,132,0,4,758,0,27.346611023
11,"teams + parallel inside",1,32,132,0,4,183,0,22.304058075
11,"teams + parallel inside",1,32,132,0,4,4,0,19.347667694
11,"teams + parallel inside",1,32,132,0,4,1218,0,32.198429108
11,"teams + parallel inside",1,32,132,0,4,71,0,21.147727966
11,"teams + parallel inside",1,32,132,0,4,1955,0,39.446353912
11,"teams + parallel inside",1,32,132,0,4,11,0,20.098686218
11,"teams + parallel inside",1,32,132,0,4,472,0,24.545192719
11,"teams + parallel inside",1,32,132,0,4,3140,0,53.048133850
11,"teams + parallel inside",1,32,132,1,0,2,0,16.999244690
11,"teams + parallel inside",1,32,132,1,0,4,0,20.349025726
11,"teams + parallel inside",1,32,132,1,0,472,0,24.402141571
11,"teams + parallel inside",1,32,132,1,0,3140,0,51.510334015
11,"teams + parallel inside",1,32,132,1,0,183,0,20.098686218
11,"teams + parallel inside",1,32,132,1,0,28,0,19.955635071
11,"teams + parallel inside",1,32,132,1,0,71,0,20.849704742
11,"teams + parallel inside",1,32,132,1,0,1218,0,32.401084900
11,"teams + parallel inside",1,32,132,1,0,294,0,22.602081299
11,"teams + parallel inside",1,32,132,1,0,1,0,19.800662994
11,"teams + parallel inside",1,32,132,1,0,7,0,20.003318787
11,"teams + parallel inside",1,32,132,1,0,1955,0,39.649009705
11,"teams + parallel inside",1,32,132,1,0,758,0,26.547908783
11,"teams + parallel inside",1,32,132,1,0,114,0,21.302700043
