method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
8,"teams atomic",16,32,132,0,0,7,0,19.896030426
8,"teams atomic",16,32,132,0,0,114,0,21.004676819
8,"teams atomic",16,32,132,0,0,3,0,20.146369934
8,"teams atomic",16,32,132,0,0,17,0,19.502639771
8,"teams atomic",16,32,132,0,0,1,0,19.848346710
8,"teams atomic",16,32,132,0,0,44,0,19.705295563
8,"teams atomic",16,32,132,0,0,294,0,22.900104523
8,"teams atomic",16,32,132,0,0,3140,0,52.046775818
8,"teams atomic",16,32,132,0,0,4,0,17.845630646
8,"teams atomic",16,32,132,0,0,1955,0,39.744377136
8,"teams atomic",16,32,132,0,0,183,0,21.851062775
8,"teams atomic",16,32,132,0,0,8096,0,104.355812073
8,"teams atomic",16,32,132,0,0,758,0,27.549266815
8,"teams atomic",16,32,132,0,0,71,0,21.052360535
8,"teams atomic",16,32,132,0,0,2,0,20.396709442
8,"teams atomic",16,32,132,0,0,11,0,17.404556274
8,"teams atomic",16,32,132,0,0,28,0,20.098686218
8,"teams atomic",16,32,132,0,0,5042,0,71.549415588
8,"teams atomic",16,32,132,0,0,1218,0,32.591819763
8,"teams atomic",16,32,132,0,0,472,0,24.998188019
8,"teams atomic",16,32,132,0,1,4,0,20.408630371
8,"teams atomic",16,32,132,0,1,1,0,19.252300262
8,"teams atomic",16,32,132,0,1,17,0,19.800662994
8,"teams atomic",16,32,132,0,1,28,0,20.003318787
8,"teams atomic",16,32,132,0,1,11,0,19.693374634
8,"teams atomic",16,32,132,0,1,3140,0,52.499771118
8,"teams atomic",16,32,132,0,1,2,0,19.848346710
8,"teams atomic",16,32,132,0,1,758,0,27.394294739
8,"teams atomic",16,32,132,0,1,1218,0,32.198429108
8,"teams atomic",16,32,132,0,1,44,0,20.349025726
8,"teams atomic",16,32,132,0,1,71,0,19.693374634
8,"teams atomic",16,32,132,0,1,114,0,20.849704742
8,"teams atomic",16,32,132,0,1,294,0,22.602081299
8,"teams atomic",16,32,132,0,1,7,0,19.490718842
8,"teams atomic",16,32,132,0,1,183,0,21.207332611
8,"teams atomic",16,32,132,0,1,8096,0,102.996826172
8,"teams atomic",16,32,132,0,1,472,0,24.843215942
8,"teams atomic",16,32,132,0,1,1955,0,40.543079376
8,"teams atomic",16,32,132,0,1,3,0,20.003318787
8,"teams atomic",16,32,132,0,1,5042,0,72.050094604
8,"teams atomic",16,32,132,0,2,3,0,20.456314087
8,"teams atomic",16,32,132,0,2,44,0,20.599365234
8,"teams atomic",16,32,132,0,2,1,0,20.158290863
8,"teams atomic",16,32,132,0,2,183,0,21.696090698
8,"teams atomic",16,32,132,0,2,294,0,22.900104523
8,"teams atomic",16,32,132,0,2,5042,0,72.050094604
8,"teams atomic",16,32,132,0,2,7,0,20.194053650
8,"teams atomic",16,32,132,0,2,8096,0,104.844570160
8,"teams atomic",16,32,132,0,2,2,0,20.205974579
8,"teams atomic",16,32,132,0,2,114,0,19.860267639
8,"teams atomic",16,32,132,0,2,71,0,21.493434906
8,"teams atomic",16,32,132,0,2,1955,0,39.649009705
8,"teams atomic",16,32,132,0,2,17,0,20.098686218
8,"teams atomic",16,32,132,0,2,472,0,24.950504303
8,"teams atomic",16,32,132,0,2,11,0,19.645690918
8,"teams atomic",16,32,132,0,2,1218,0,32.603740692
8,"teams atomic",16,32,132,0,2,4,0,19.657611847
8,"teams atomic",16,32,132,0,2,3140,0,51.951408386
8,"teams atomic",16,32,132,0,2,758,0,28.240680695
8,"teams atomic",16,32,132,0,2,28,0,20.551681519
