method_id,method_name,N,gang_count,worker_count,set,run,delaylength,outerreps,exec_time_us
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,7,0,9.150000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,114,0,10.000000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,3,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,17,0,9.550000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,1,0,9.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,44,0,9.600000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,294,0,11.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,3140,0,30.400000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,4,0,9.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,1955,0,22.750000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,183,0,10.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,8096,0,63.150000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,758,0,14.600000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,71,0,9.850000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,2,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,11,0,9.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,28,0,9.500000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,5042,0,43.150000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,1218,0,17.900000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,0,472,0,12.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,4,0,9.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,1,0,9.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,17,0,9.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,28,0,9.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,11,0,9.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,3140,0,30.950000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,2,0,9.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,758,0,14.450000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,1218,0,17.900000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,44,0,9.600000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,71,0,9.800000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,114,0,10.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,294,0,11.450000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,7,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,183,0,10.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,8096,0,63.400000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,472,0,12.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,1955,0,22.650000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,3,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,1,5042,0,43.150000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,3,0,9.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,44,0,9.400000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,1,0,9.050000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,183,0,10.800000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,294,0,11.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,5042,0,43.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,7,0,9.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,8096,0,63.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,2,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,114,0,9.900000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,71,0,9.550000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,1955,0,22.600000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,17,0,9.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,472,0,12.450000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,11,0,9.350000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,1218,0,17.600000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,4,0,9.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,3140,0,30.550000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,758,0,14.250000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,2,28,0,9.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,11,0,9.150000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,4,0,9.200000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,5042,0,43.450000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,183,0,10.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,17,0,9.300000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,3,0,9.100000000
11,"parallel worker loop num_gangs + num_workers",1,132,32,0,3,28,0,9.300000000
