method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
0,"pure delay kernel",16382,32,132,0,0,7,0,11.348724365
0,"pure delay kernel",16382,32,132,0,0,114,0,11.801719666
0,"pure delay kernel",16382,32,132,0,0,3,0,11.193752289
0,"pure delay kernel",16382,32,132,0,0,17,0,11.444091797
0,"pure delay kernel",16382,32,132,0,0,1,0,10.955333710
0,"pure delay kernel",16382,32,132,0,0,44,0,11.157989502
0,"pure delay kernel",16382,32,132,0,0,294,0,12.946128845
0,"pure delay kernel",16382,32,132,0,0,3140,0,32.746791840
0,"pure delay kernel",16382,32,132,0,0,4,0,11.146068573
0,"pure delay kernel",16382,32,132,0,0,1955,0,24.843215942
0,"pure delay kernel",16382,32,132,0,0,183,0,12.350082397
0,"pure delay kernel",16382,32,132,0,0,8096,0,65.302848816
0,"pure delay kernel",16382,32,132,0,0,758,0,16.093254089
0,"pure delay kernel",16382,32,132,0,0,71,0,11.742115021
0,"pure delay kernel",16382,32,132,0,0,2,0,11.098384857
0,"pure delay kernel",16382,32,132,0,0,11,0,11.289119720
0,"pure delay kernel",16382,32,132,0,0,28,0,11.348724365
0,"pure delay kernel",16382,32,132,0,0,5042,0,45.251846313
0,"pure delay kernel",16382,32,132,0,0,1218,0,19.550323486
0,"pure delay kernel",16382,32,132,0,0,472,0,14.042854309
0,"pure delay kernel",16382,32,132,0,1,4,0,10.895729065
0,"pure delay kernel",16382,32,132,0,1,1,0,11.146068573
0,"pure delay kernel",16382,32,132,0,1,17,0,11.289119720
0,"pure delay kernel",16382,32,132,0,1,28,0,11.050701141
0,"pure delay kernel",16382,32,132,0,1,11,0,11.146068573
0,"pure delay kernel",16382,32,132,0,1,3140,0,32.401084900
0,"pure delay kernel",16382,32,132,0,1,2,0,11.098384857
0,"pure delay kernel",16382,32,132,0,1,758,0,15.604496002
0,"pure delay kernel",16382,32,132,0,1,1218,0,18.751621246
0,"pure delay kernel",16382,32,132,0,1,44,0,11.360645294
0,"pure delay kernel",16382,32,132,0,1,71,0,11.646747589
0,"pure delay kernel",16382,32,132,0,1,114,0,11.706352234
0,"pure delay kernel",16382,32,132,0,1,294,0,12.910366058
0,"pure delay kernel",16382,32,132,0,1,7,0,11.157989502
0,"pure delay kernel",16382,32,132,0,1,183,0,12.099742889
0,"pure delay kernel",16382,32,132,0,1,8096,0,64.456462860
0,"pure delay kernel",16382,32,132,0,1,472,0,13.995170593
0,"pure delay kernel",16382,32,132,0,1,1955,0,24.652481079
