method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
10,"teams parallel",16382,32,132,0,0,14,0,12.242794037
10,"teams parallel",16382,32,132,0,0,711,0,19.443035126
10,"teams parallel",16382,32,132,0,0,4,0,12.195110321
10,"teams parallel",16382,32,132,0,0,51,0,12.600421906
10,"teams parallel",16382,32,132,0,0,1,0,11.944770813
10,"teams parallel",16382,32,132,0,0,191,0,13.947486877
10,"teams parallel",16382,32,132,0,0,2644,0,39.696693420
10,"teams parallel",16382,32,132,0,0,70496,0,744.760036469
10,"teams parallel",16382,32,132,0,0,7,0,11.897087097
10,"teams parallel",16382,32,132,0,0,36558,0,392.556190491
10,"teams parallel",16382,32,132,0,0,1371,0,26.798248291
10,"teams parallel",16382,32,132,0,0,262144,0,2736.401557922
10,"teams parallel",16382,32,132,0,0,9831,0,114.750862122
10,"teams parallel",16382,32,132,0,0,369,0,16.045570374
10,"teams parallel",16382,32,132,0,0,2,0,11.801719666
10,"teams parallel",16382,32,132,0,0,27,0,12.147426605
10,"teams parallel",16382,32,132,0,0,99,0,13.148784637
10,"teams parallel",16382,32,132,0,0,135942,0,1425.099372864
10,"teams parallel",16382,32,132,0,0,18958,0,209.200382233
10,"teams parallel",16382,32,132,0,0,5098,0,65.100193024
10,"teams parallel",16382,32,132,0,1,7,0,11.944770813
10,"teams parallel",16382,32,132,0,1,1,0,11.849403381
10,"teams parallel",16382,32,132,0,1,51,0,12.350082397
10,"teams parallel",16382,32,132,0,1,99,0,13.101100922
10,"teams parallel",16382,32,132,0,1,27,0,12.147426605
10,"teams parallel",16382,32,132,0,1,70496,0,744.450092316
10,"teams parallel",16382,32,132,0,1,2,0,11.694431305
10,"teams parallel",16382,32,132,0,1,9831,0,113.856792450
10,"teams parallel",16382,32,132,0,1,18958,0,209.248065948
10,"teams parallel",16382,32,132,0,1,191,0,13.947486877
10,"teams parallel",16382,32,132,0,1,369,0,15.795230865
10,"teams parallel",16382,32,132,0,1,711,0,19.359588623
10,"teams parallel",16382,32,132,0,1,2644,0,39.601325989
10,"teams parallel",16382,32,132,0,1,14,0,12.004375458
10,"teams parallel",16382,32,132,0,1,1371,0,26.345252991
10,"teams parallel",16382,32,132,0,1,262144,0,2736.043930054
10,"teams parallel",16382,32,132,0,1,5098,0,65.255165100
10,"teams parallel",16382,32,132,0,1,36558,0,392.091274261
10,"teams parallel",16382,32,132,0,1,4,0,11.706352234
10,"teams parallel",16382,32,132,0,1,135942,0,1424.956321716
10,"teams parallel",16382,32,132,0,2,4,0,11.909008026
10,"teams parallel",16382,32,132,0,2,191,0,13.899803162
10,"teams parallel",16382,32,132,0,2,1,0,11.754035950
10,"teams parallel",16382,32,132,0,2,1371,0,26.404857635
10,"teams parallel",16382,32,132,0,2,2644,0,39.350986481
10,"teams parallel",16382,32,132,0,2,135942,0,1424.849033356
10,"teams parallel",16382,32,132,0,2,14,0,12.147426605
10,"teams parallel",16382,32,132,0,2,262144,0,2736.151218414
10,"teams parallel",16382,32,132,0,2,2,0,11.897087097
10,"teams parallel",16382,32,132,0,2,711,0,19.252300262
10,"teams parallel",16382,32,132,0,2,369,0,15.842914581
10,"teams parallel",16382,32,132,0,2,36558,0,392.198562622
10,"teams parallel",16382,32,132,0,2,51,0,12.505054474
10,"teams parallel",16382,32,132,0,2,5098,0,64.992904663
10,"teams parallel",16382,32,132,0,2,27,0,12.195110321
10,"teams parallel",16382,32,132,0,2,18958,0,209.546089172
10,"teams parallel",16382,32,132,0,2,7,0,11.992454529
10,"teams parallel",16382,32,132,0,2,70496,0,744.402408600
10,"teams parallel",16382,32,132,0,2,9831,0,114.297866821
10,"teams parallel",16382,32,132,0,2,99,0,12.803077698
10,"teams parallel",16382,32,132,0,3,27,0,12.254714966
10,"teams parallel",16382,32,132,0,3,7,0,12.040138245
10,"teams parallel",16382,32,132,0,3,135942,0,1425.004005432
10,"teams parallel",16382,32,132,0,3,1371,0,26.547908783
10,"teams parallel",16382,32,132,0,3,51,0,12.552738190
10,"teams parallel",16382,32,132,0,3,4,0,11.754035950
10,"teams parallel",16382,32,132,0,3,99,0,12.993812561
10,"teams parallel",16382,32,132,0,3,18958,0,209.152698517
10,"teams parallel",16382,32,132,0,3,711,0,19.800662994
10,"teams parallel",16382,32,132,0,3,9831,0,114.798545837
10,"teams parallel",16382,32,132,0,3,36558,0,392.448902130
10,"teams parallel",16382,32,132,0,3,5098,0,65.100193024
10,"teams parallel",16382,32,132,0,3,14,0,12.254714966
10,"teams parallel",16382,32,132,0,3,191,0,14.054775238
10,"teams parallel",16382,32,132,0,3,70496,0,744.855403900
10,"teams parallel",16382,32,132,0,3,262144,0,2736.306190491
10,"teams parallel",16382,32,132,0,3,369,0,15.759468079
10,"teams parallel",16382,32,132,0,3,1,0,11.897087097
10,"teams parallel",16382,32,132,0,3,2,0,11.801719666
10,"teams parallel",16382,32,132,0,3,2644,0,39.649009705
10,"teams parallel",16382,32,132,0,4,4,0,11.646747589
10,"teams parallel",16382,32,132,0,4,262144,0,2735.793590546
10,"teams parallel",16382,32,132,0,4,1,0,11.849403381
10,"teams parallel",16382,32,132,0,4,99,0,12.898445129
10,"teams parallel",16382,32,132,0,4,51,0,12.350082397
10,"teams parallel",16382,32,132,0,4,135942,0,1424.598693848
10,"teams parallel",16382,32,132,0,4,14,0,12.099742889
10,"teams parallel",16382,32,132,0,4,711,0,19.454956055
10,"teams parallel",16382,32,132,0,4,191,0,13.792514801
10,"teams parallel",16382,32,132,0,4,2,0,11.849403381
10,"teams parallel",16382,32,132,0,4,2644,0,39.744377136
10,"teams parallel",16382,32,132,0,4,9831,0,114.345550537
