method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
0,"pure delay kernel",16382,32,132,0,0,7,0,16.856193542
0,"pure delay kernel",16382,32,132,0,0,114,0,20.253658295
0,"pure delay kernel",16382,32,132,0,0,3,0,20.802021027
0,"pure delay kernel",16382,32,132,0,0,17,0,17.344951630
0,"pure delay kernel",16382,32,132,0,0,1,0,18.095970154
0,"pure delay kernel",16382,32,132,0,0,44,0,17.690658569
0,"pure delay kernel",16382,32,132,0,0,294,0,23.150444031
0,"pure delay kernel",16382,32,132,0,0,3140,0,49.650669098
0,"pure delay kernel",16382,32,132,0,0,4,0,18.954277039
0,"pure delay kernel",16382,32,132,0,0,1955,0,39.446353912
0,"pure delay kernel",16382,32,132,0,0,183,0,20.349025726
0,"pure delay kernel",16382,32,132,0,0,8096,0,102.305412292
0,"pure delay kernel",16382,32,132,0,0,758,0,26.702880859
0,"pure delay kernel",16382,32,132,0,0,71,0,18.000602722
0,"pure delay kernel",16382,32,132,0,0,2,0,18.000602722
0,"pure delay kernel",16382,32,132,0,0,11,0,18.560886383
0,"pure delay kernel",16382,32,132,0,0,28,0,17.642974854
0,"pure delay kernel",16382,32,132,0,0,5042,0,70.250034332
0,"pure delay kernel",16382,32,132,0,0,1218,0,31.197071075
0,"pure delay kernel",16382,32,132,0,0,472,0,21.040439606
0,"pure delay kernel",16382,32,132,0,1,4,0,17.905235291
0,"pure delay kernel",16382,32,132,0,1,1,0,17.750263214
0,"pure delay kernel",16382,32,132,0,1,17,0,16.844272614
0,"pure delay kernel",16382,32,132,0,1,28,0,17.952919006
0,"pure delay kernel",16382,32,132,0,1,11,0,19.502639771
0,"pure delay kernel",16382,32,132,0,1,3140,0,52.499771118
0,"pure delay kernel",16382,32,132,0,1,2,0,17.797946930
0,"pure delay kernel",16382,32,132,0,1,758,0,27.358531952
0,"pure delay kernel",16382,32,132,0,1,1218,0,30.243396759
0,"pure delay kernel",16382,32,132,0,1,44,0,18.298625946
0,"pure delay kernel",16382,32,132,0,1,71,0,18.692016602
0,"pure delay kernel",16382,32,132,0,1,114,0,18.799304962
0,"pure delay kernel",16382,32,132,0,1,294,0,20.599365234
0,"pure delay kernel",16382,32,132,0,1,7,0,17.750263214
0,"pure delay kernel",16382,32,132,0,1,183,0,19.240379333
0,"pure delay kernel",16382,32,132,0,1,8096,0,101.947784424
0,"pure delay kernel",16382,32,132,0,1,472,0,24.557113647
0,"pure delay kernel",16382,32,132,0,1,1955,0,39.088726044
0,"pure delay kernel",16382,32,132,0,1,3,0,17.952919006
0,"pure delay kernel",16382,32,132,0,1,5042,0,71.847438812
0,"pure delay kernel",16382,32,132,0,2,3,0,16.701221466
0,"pure delay kernel",16382,32,132,0,2,44,0,16.796588898
0,"pure delay kernel",16382,32,132,0,2,1,0,18.358230591
0,"pure delay kernel",16382,32,132,0,2,183,0,19.240379333
0,"pure delay kernel",16382,32,132,0,2,294,0,21.147727966
0,"pure delay kernel",16382,32,132,0,2,5042,0,70.405006409
0,"pure delay kernel",16382,32,132,0,2,7,0,17.094612122
0,"pure delay kernel",16382,32,132,0,2,8096,0,102.603435516
0,"pure delay kernel",16382,32,132,0,2,2,0,17.154216766
0,"pure delay kernel",16382,32,132,0,2,114,0,18.846988678
