method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
5,"teams (scalar)",16382,32,132,0,0,7,0,15.449523926
5,"teams (scalar)",16382,32,132,0,0,114,0,18.846988678
5,"teams (scalar)",16382,32,132,0,0,3,0,18.739700317
5,"teams (scalar)",16382,32,132,0,0,17,0,17.905235291
5,"teams (scalar)",16382,32,132,0,0,1,0,15.246868134
5,"teams (scalar)",16382,32,132,0,0,44,0,16.796588898
5,"teams (scalar)",16382,32,132,0,0,294,0,17.356872559
5,"teams (scalar)",16382,32,132,0,0,3140,0,50.354003906
5,"teams (scalar)",16382,32,132,0,0,4,0,16.593933105
5,"teams (scalar)",16382,32,132,0,0,1955,0,38.492679596
5,"teams (scalar)",16382,32,132,0,0,183,0,17.094612122
5,"teams (scalar)",16382,32,132,0,0,8096,0,102.245807648
5,"teams (scalar)",16382,32,132,0,0,758,0,24.139881134
5,"teams (scalar)",16382,32,132,0,0,71,0,15.795230865
5,"teams (scalar)",16382,32,132,0,0,2,0,14.758110046
5,"teams (scalar)",16382,32,132,0,0,11,0,16.546249390
5,"teams (scalar)",16382,32,132,0,0,28,0,16.260147095
5,"teams (scalar)",16382,32,132,0,0,5042,0,70.202350616
5,"teams (scalar)",16382,32,132,0,0,1218,0,30.100345612
5,"teams (scalar)",16382,32,132,0,0,472,0,21.350383759
5,"teams (scalar)",16382,32,132,0,1,4,0,15.592575073
5,"teams (scalar)",16382,32,132,0,1,1,0,16.152858734
5,"teams (scalar)",16382,32,132,0,1,17,0,16.641616821
5,"teams (scalar)",16382,32,132,0,1,28,0,16.558170319
5,"teams (scalar)",16382,32,132,0,1,11,0,16.248226166
5,"teams (scalar)",16382,32,132,0,1,3140,0,50.055980682
5,"teams (scalar)",16382,32,132,0,1,2,0,15.640258789
5,"teams (scalar)",16382,32,132,0,1,758,0,24.807453156
5,"teams (scalar)",16382,32,132,0,1,1218,0,28.443336487
5,"teams (scalar)",16382,32,132,0,1,44,0,17.344951630
5,"teams (scalar)",16382,32,132,0,1,71,0,18.000602722
5,"teams (scalar)",16382,32,132,0,1,114,0,20.647048950
5,"teams (scalar)",16382,32,132,0,1,294,0,22.900104523
5,"teams (scalar)",16382,32,132,0,1,7,0,17.046928406
5,"teams (scalar)",16382,32,132,0,1,183,0,19.848346710
5,"teams (scalar)",16382,32,132,0,1,8096,0,102.353096008
5,"teams (scalar)",16382,32,132,0,1,472,0,23.853778839
5,"teams (scalar)",16382,32,132,0,1,1955,0,39.207935333
5,"teams (scalar)",16382,32,132,0,1,3,0,16.093254089
5,"teams (scalar)",16382,32,132,0,1,5042,0,69.856643677
5,"teams (scalar)",16382,32,132,0,2,3,0,17.297267914
5,"teams (scalar)",16382,32,132,0,2,44,0,17.905235291
5,"teams (scalar)",16382,32,132,0,2,1,0,17.750263214
5,"teams (scalar)",16382,32,132,0,2,183,0,17.905235291
5,"teams (scalar)",16382,32,132,0,2,294,0,18.239021301
5,"teams (scalar)",16382,32,132,0,2,5042,0,70.858001709
5,"teams (scalar)",16382,32,132,0,2,7,0,18.107891083
5,"teams (scalar)",16382,32,132,0,2,8096,0,103.354454041
5,"teams (scalar)",16382,32,132,0,2,2,0,14.996528625
5,"teams (scalar)",16382,32,132,0,2,114,0,18.501281738
5,"teams (scalar)",16382,32,132,0,2,71,0,17.189979553
5,"teams (scalar)",16382,32,132,0,2,1955,0,38.957595825
5,"teams (scalar)",16382,32,132,0,2,17,0,16.391277313
5,"teams (scalar)",16382,32,132,0,2,472,0,22.256374359
5,"teams (scalar)",16382,32,132,0,2,11,0,16.295909882
5,"teams (scalar)",16382,32,132,0,2,1218,0,30.899047852
5,"teams (scalar)",16382,32,132,0,2,4,0,15.449523926
5,"teams (scalar)",16382,32,132,0,2,3140,0,49.304962158
5,"teams (scalar)",16382,32,132,0,2,758,0,24.044513702
5,"teams (scalar)",16382,32,132,0,2,28,0,17.106533051
5,"teams (scalar)",16382,32,132,0,3,11,0,15.950202942
5,"teams (scalar)",16382,32,132,0,3,4,0,16.188621521
5,"teams (scalar)",16382,32,132,0,3,5042,0,69.749355316
5,"teams (scalar)",16382,32,132,0,3,183,0,18.894672394
5,"teams (scalar)",16382,32,132,0,3,17,0,17.249584198
5,"teams (scalar)",16382,32,132,0,3,3,0,16.951560974
5,"teams (scalar)",16382,32,132,0,3,28,0,16.891956329
5,"teams (scalar)",16382,32,132,0,3,1218,0,30.696392059
5,"teams (scalar)",16382,32,132,0,3,114,0,18.858909607
5,"teams (scalar)",16382,32,132,0,3,758,0,25.892257690
5,"teams (scalar)",16382,32,132,0,3,1955,0,37.848949432
5,"teams (scalar)",16382,32,132,0,3,472,0,23.806095123
5,"teams (scalar)",16382,32,132,0,3,7,0,18.548965454
5,"teams (scalar)",16382,32,132,0,3,44,0,17.750263214
5,"teams (scalar)",16382,32,132,0,3,3140,0,49.400329590
5,"teams (scalar)",16382,32,132,0,3,8096,0,100.946426392
5,"teams (scalar)",16382,32,132,0,3,71,0,16.605854034
5,"teams (scalar)",16382,32,132,0,3,1,0,16.701221466
5,"teams (scalar)",16382,32,132,0,3,2,0,17.988681793
5,"teams (scalar)",16382,32,132,0,3,294,0,21.147727966
5,"teams (scalar)",16382,32,132,0,4,3,0,15.795230865
5,"teams (scalar)",16382,32,132,0,4,8096,0,101.649761200
5,"teams (scalar)",16382,32,132,0,4,1,0,15.056133270
5,"teams (scalar)",16382,32,132,0,4,28,0,18.298625946
5,"teams (scalar)",16382,32,132,0,4,17,0,15.795230865
5,"teams (scalar)",16382,32,132,0,4,5042,0,69.856643677
5,"teams (scalar)",16382,32,132,0,4,7,0,16.951560974
5,"teams (scalar)",16382,32,132,0,4,114,0,16.403198242
5,"teams (scalar)",16382,32,132,0,4,44,0,16.903877258
5,"teams (scalar)",16382,32,132,0,4,2,0,16.152858734
5,"teams (scalar)",16382,32,132,0,4,294,0,19.299983978
5,"teams (scalar)",16382,32,132,0,4,758,0,23.496150970
5,"teams (scalar)",16382,32,132,0,4,183,0,18.501281738
5,"teams (scalar)",16382,32,132,0,4,4,0,15.497207642
5,"teams (scalar)",16382,32,132,0,4,1218,0,28.693675995
5,"teams (scalar)",16382,32,132,0,4,71,0,16.391277313
5,"teams (scalar)",16382,32,132,0,4,1955,0,37.050247192
5,"teams (scalar)",16382,32,132,0,4,11,0,17.547607422
5,"teams (scalar)",16382,32,132,0,4,472,0,19.490718842
5,"teams (scalar)",16382,32,132,0,4,3140,0,51.152706146
5,"teams (scalar)",16382,32,132,1,0,2,0,15.008449554
5,"teams (scalar)",16382,32,132,1,0,4,0,17.452239990
5,"teams (scalar)",16382,32,132,1,0,472,0,23.090839386
5,"teams (scalar)",16382,32,132,1,0,3140,0,51.355361938
5,"teams (scalar)",16382,32,132,1,0,183,0,19.145011902
5,"teams (scalar)",16382,32,132,1,0,28,0,17.642974854
5,"teams (scalar)",16382,32,132,1,0,71,0,15.389919281
5,"teams (scalar)",16382,32,132,1,0,1218,0,30.803680420
5,"teams (scalar)",16382,32,132,1,0,294,0,19.955635071
5,"teams (scalar)",16382,32,132,1,0,1,0,15.747547150
5,"teams (scalar)",16382,32,132,1,0,7,0,16.796588898
5,"teams (scalar)",16382,32,132,1,0,1955,0,38.290023804
5,"teams (scalar)",16382,32,132,1,0,758,0,24.604797363
5,"teams (scalar)",16382,32,132,1,0,114,0,16.152858734
5,"teams (scalar)",16382,32,132,1,0,11,0,15.747547150
5,"teams (scalar)",16382,32,132,1,0,3,0,17.154216766
5,"teams (scalar)",16382,32,132,1,0,8096,0,101.494789124
5,"teams (scalar)",16382,32,132,1,0,44,0,17.309188843
5,"teams (scalar)",16382,32,132,1,0,17,0,18.203258514
5,"teams (scalar)",16382,32,132,1,0,5042,0,69.105625153
5,"teams (scalar)",16382,32,132,1,1,758,0,22.697448730
5,"teams (scalar)",16382,32,132,1,1,3,0,16.999244690
5,"teams (scalar)",16382,32,132,1,1,3140,0,50.151348114
5,"teams (scalar)",16382,32,132,1,1,1955,0,36.907196045
5,"teams (scalar)",16382,32,132,1,1,44,0,17.952919006
5,"teams (scalar)",16382,32,132,1,1,17,0,15.795230865
5,"teams (scalar)",16382,32,132,1,1,294,0,18.191337585
5,"teams (scalar)",16382,32,132,1,1,28,0,15.401840210
5,"teams (scalar)",16382,32,132,1,1,114,0,17.499923706
5,"teams (scalar)",16382,32,132,1,1,2,0,14.841556549
5,"teams (scalar)",16382,32,132,1,1,7,0,16.450881958
5,"teams (scalar)",16382,32,132,1,1,183,0,17.547607422
5,"teams (scalar)",16382,32,132,1,1,8096,0,100.994110107
5,"teams (scalar)",16382,32,132,1,1,11,0,17.106533051
5,"teams (scalar)",16382,32,132,1,1,1,0,19.502639771
5,"teams (scalar)",16382,32,132,1,1,1218,0,30.195713043
5,"teams (scalar)",16382,32,132,1,1,472,0,21.398067474
5,"teams (scalar)",16382,32,132,1,1,71,0,18.548965454
5,"teams (scalar)",16382,32,132,1,1,5042,0,71.156024933
5,"teams (scalar)",16382,32,132,1,1,4,0,16.760826111
5,"teams (scalar)",16382,32,132,1,2,2,0,17.452239990
5,"teams (scalar)",16382,32,132,1,2,71,0,19.001960754
5,"teams (scalar)",16382,32,132,1,2,17,0,16.391277313
5,"teams (scalar)",16382,32,132,1,2,472,0,21.600723267
5,"teams (scalar)",16382,32,132,1,2,5042,0,69.499015808
5,"teams (scalar)",16382,32,132,1,2,28,0,16.593933105
5,"teams (scalar)",16382,32,132,1,2,44,0,18.298625946
5,"teams (scalar)",16382,32,132,1,2,1218,0,28.502941132
5,"teams (scalar)",16382,32,132,1,2,4,0,16.593933105
5,"teams (scalar)",16382,32,132,1,2,1955,0,37.550926208
5,"teams (scalar)",16382,32,132,1,2,183,0,17.452239990
5,"teams (scalar)",16382,32,132,1,2,7,0,16.903877258
5,"teams (scalar)",16382,32,132,1,2,758,0,24.104118347
5,"teams (scalar)",16382,32,132,1,2,1,0,17.058849335
5,"teams (scalar)",16382,32,132,1,2,3140,0,50.604343414
5,"teams (scalar)",16382,32,132,1,2,8096,0,101.900100708
5,"teams (scalar)",16382,32,132,1,2,3,0,17.094612122
5,"teams (scalar)",16382,32,132,1,2,114,0,16.689300537
5,"teams (scalar)",16382,32,132,1,2,11,0,15.449523926
5,"teams (scalar)",16382,32,132,1,2,294,0,19.645690918
5,"teams (scalar)",16382,32,132,1,3,1,0,16.641616821
5,"teams (scalar)",16382,32,132,1,3,17,0,16.093254089
5,"teams (scalar)",16382,32,132,1,3,294,0,19.395351410
5,"teams (scalar)",16382,32,132,1,3,5042,0,68.545341492
5,"teams (scalar)",16382,32,132,1,3,114,0,17.404556274
5,"teams (scalar)",16382,32,132,1,3,28,0,18.000602722
5,"teams (scalar)",16382,32,132,1,3,1218,0,29.945373535
5,"teams (scalar)",16382,32,132,1,3,2,0,15.997886658
5,"teams (scalar)",16382,32,132,1,3,3,0,17.392635345
5,"teams (scalar)",16382,32,132,1,3,4,0,17.201900482
5,"teams (scalar)",16382,32,132,1,3,758,0,26.249885559
5,"teams (scalar)",16382,32,132,1,3,11,0,15.306472778
5,"teams (scalar)",16382,32,132,1,3,44,0,18.799304962
5,"teams (scalar)",16382,32,132,1,3,472,0,21.445751190
5,"teams (scalar)",16382,32,132,1,3,7,0,16.260147095
5,"teams (scalar)",16382,32,132,1,3,1955,0,37.848949432
5,"teams (scalar)",16382,32,132,1,3,71,0,15.795230865
5,"teams (scalar)",16382,32,132,1,3,183,0,18.095970154
5,"teams (scalar)",16382,32,132,1,3,8096,0,101.149082184
5,"teams (scalar)",16382,32,132,1,3,3140,0,50.044059753
5,"teams (scalar)",16382,32,132,1,4,472,0,22.101402283
5,"teams (scalar)",16382,32,132,1,4,71,0,18.501281738
5,"teams (scalar)",16382,32,132,1,4,1,0,16.844272614
5,"teams (scalar)",16382,32,132,1,4,11,0,16.653537750
5,"teams (scalar)",16382,32,132,1,4,4,0,17.654895782
5,"teams (scalar)",16382,32,132,1,4,3140,0,48.804283142
5,"teams (scalar)",16382,32,132,1,4,28,0,15.807151794
5,"teams (scalar)",16382,32,132,1,4,1218,0,29.647350311
5,"teams (scalar)",16382,32,132,1,4,2,0,16.200542450
5,"teams (scalar)",16382,32,132,1,4,183,0,17.046928406
5,"teams (scalar)",16382,32,132,1,4,5042,0,69.093704224
5,"teams (scalar)",16382,32,132,1,4,114,0,17.690658569
5,"teams (scalar)",16382,32,132,1,4,3,0,15.401840210
5,"teams (scalar)",16382,32,132,1,4,44,0,16.200542450
5,"teams (scalar)",16382,32,132,1,4,758,0,23.853778839
5,"teams (scalar)",16382,32,132,1,4,8096,0,100.648403168
5,"teams (scalar)",16382,32,132,1,4,1955,0,36.191940308
5,"teams (scalar)",16382,32,132,1,4,294,0,19.609928131
5,"teams (scalar)",16382,32,132,1,4,7,0,16.748905182
5,"teams (scalar)",16382,32,132,1,4,17,0,20.158290863
