method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
0,"pure delay kernel",16382,32,132,0,0,7,0,31.095184386
0,"pure delay kernel",16382,32,132,0,0,114,0,39.890222251
0,"pure delay kernel",16382,32,132,0,0,3,0,30.117481947
0,"pure delay kernel",16382,32,132,0,0,17,0,31.774491072
0,"pure delay kernel",16382,32,132,0,0,1,0,30.285678804
0,"pure delay kernel",16382,32,132,0,0,44,0,33.385120332
0,"pure delay kernel",16382,32,132,0,0,294,0,53.671747446
0,"pure delay kernel",16382,32,132,0,0,3140,0,283.071771264
0,"pure delay kernel",16382,32,132,0,0,4,0,31.449086964
0,"pure delay kernel",16382,32,132,0,0,1955,0,187.126174569
0,"pure delay kernel",16382,32,132,0,0,183,0,44.120289385
0,"pure delay kernel",16382,32,132,0,0,8096,0,680.947117507
0,"pure delay kernel",16382,32,132,0,0,758,0,92.137046158
0,"pure delay kernel",16382,32,132,0,0,71,0,36.406889558
0,"pure delay kernel",16382,32,132,0,0,2,0,30.270591378
0,"pure delay kernel",16382,32,132,0,0,11,0,30.625239015
0,"pure delay kernel",16382,32,132,0,0,28,0,32.486021519
0,"pure delay kernel",16382,32,132,0,0,5042,0,434.754416347
0,"pure delay kernel",16382,32,132,0,0,1218,0,128.137506545
0,"pure delay kernel",16382,32,132,0,0,472,0,67.817978561
0,"pure delay kernel",16382,32,132,0,1,4,0,26.849471033
0,"pure delay kernel",16382,32,132,0,1,1,0,31.133182347
0,"pure delay kernel",16382,32,132,0,1,17,0,32.404251397
0,"pure delay kernel",16382,32,132,0,1,28,0,32.822974026
0,"pure delay kernel",16382,32,132,0,1,11,0,31.515397131
0,"pure delay kernel",16382,32,132,0,1,3140,0,282.204709947
0,"pure delay kernel",16382,32,132,0,1,2,0,31.264871359
0,"pure delay kernel",16382,32,132,0,1,758,0,90.480409563
0,"pure delay kernel",16382,32,132,0,1,1218,0,128.547102213
0,"pure delay kernel",16382,32,132,0,1,44,0,31.790509820
0,"pure delay kernel",16382,32,132,0,1,71,0,36.212801933
0,"pure delay kernel",16382,32,132,0,1,114,0,39.687380195
0,"pure delay kernel",16382,32,132,0,1,294,0,52.570179105
0,"pure delay kernel",16382,32,132,0,1,7,0,31.428039074
0,"pure delay kernel",16382,32,132,0,1,183,0,44.255144894
0,"pure delay kernel",16382,32,132,0,1,8096,0,681.187212467
0,"pure delay kernel",16382,32,132,0,1,472,0,66.867470741
0,"pure delay kernel",16382,32,132,0,1,1955,0,186.834670603
0,"pure delay kernel",16382,32,132,0,1,3,0,30.800141394
0,"pure delay kernel",16382,32,132,0,1,5042,0,436.350703239
0,"pure delay kernel",16382,32,132,0,2,3,0,30.350312591
0,"pure delay kernel",16382,32,132,0,2,44,0,34.837983549
0,"pure delay kernel",16382,32,132,0,2,1,0,30.929408967
0,"pure delay kernel",16382,32,132,0,2,183,0,45.326165855
0,"pure delay kernel",16382,32,132,0,2,294,0,54.318644106
0,"pure delay kernel",16382,32,132,0,2,5042,0,435.892492533
0,"pure delay kernel",16382,32,132,0,2,7,0,31.266175210
0,"pure delay kernel",16382,32,132,0,2,8096,0,680.743157864
0,"pure delay kernel",16382,32,132,0,2,2,0,29.952824116
0,"pure delay kernel",16382,32,132,0,2,114,0,39.360858500
0,"pure delay kernel",16382,32,132,0,2,71,0,34.124031663
0,"pure delay kernel",16382,32,132,0,2,1955,0,187.514536083
0,"pure delay kernel",16382,32,132,0,2,17,0,32.136589289
0,"pure delay kernel",16382,32,132,0,2,472,0,68.124942482
0,"pure delay kernel",16382,32,132,0,2,11,0,27.340836823
0,"pure delay kernel",16382,32,132,0,2,1218,0,127.995014191
0,"pure delay kernel",16382,32,132,0,2,4,0,30.407682061
0,"pure delay kernel",16382,32,132,0,2,3140,0,282.152928412
0,"pure delay kernel",16382,32,132,0,2,758,0,91.367401183
0,"pure delay kernel",16382,32,132,0,2,28,0,27.980469167
0,"pure delay kernel",16382,32,132,0,3,11,0,30.959956348
0,"pure delay kernel",16382,32,132,0,3,4,0,30.219741166
0,"pure delay kernel",16382,32,132,0,3,5042,0,433.258898556
0,"pure delay kernel",16382,32,132,0,3,183,0,45.137852430
0,"pure delay kernel",16382,32,132,0,3,17,0,27.547962964
0,"pure delay kernel",16382,32,132,0,3,3,0,27.702748775
0,"pure delay kernel",16382,32,132,0,3,28,0,33.437833190
0,"pure delay kernel",16382,32,132,0,3,1218,0,128.228776157
0,"pure delay kernel",16382,32,132,0,3,114,0,40.048360825
0,"pure delay kernel",16382,32,132,0,3,758,0,91.008841991
0,"pure delay kernel",16382,32,132,0,3,1955,0,187.583453953
0,"pure delay kernel",16382,32,132,0,3,472,0,68.357773125
0,"pure delay kernel",16382,32,132,0,3,7,0,31.054951251
0,"pure delay kernel",16382,32,132,0,3,44,0,30.696019530
0,"pure delay kernel",16382,32,132,0,3,3140,0,282.494165003
0,"pure delay kernel",16382,32,132,0,3,8096,0,679.702870548
0,"pure delay kernel",16382,32,132,0,3,71,0,35.651773214
0,"pure delay kernel",16382,32,132,0,3,1,0,30.011497438
0,"pure delay kernel",16382,32,132,0,3,2,0,30.052103102
0,"pure delay kernel",16382,32,132,0,3,294,0,54.406933486
0,"pure delay kernel",16382,32,132,0,4,3,0,29.915757477
0,"pure delay kernel",16382,32,132,0,4,8096,0,680.026784539
0,"pure delay kernel",16382,32,132,0,4,1,0,29.351562262
0,"pure delay kernel",16382,32,132,0,4,28,0,31.223520637
0,"pure delay kernel",16382,32,132,0,4,17,0,31.844340265
0,"pure delay kernel",16382,32,132,0,4,5042,0,433.457829058
0,"pure delay kernel",16382,32,132,0,4,7,0,25.916472077
0,"pure delay kernel",16382,32,132,0,4,114,0,40.666572750
0,"pure delay kernel",16382,32,132,0,4,44,0,29.865838587
0,"pure delay kernel",16382,32,132,0,4,2,0,26.497244835
0,"pure delay kernel",16382,32,132,0,4,294,0,52.079372108
0,"pure delay kernel",16382,32,132,0,4,758,0,91.635808349
0,"pure delay kernel",16382,32,132,0,4,183,0,45.125558972
0,"pure delay kernel",16382,32,132,0,4,4,0,30.597113073
0,"pure delay kernel",16382,32,132,0,4,1218,0,127.470493317
0,"pure delay kernel",16382,32,132,0,4,71,0,33.279508352
0,"pure delay kernel",16382,32,132,0,4,1955,0,187.428295612
0,"pure delay kernel",16382,32,132,0,4,11,0,30.897185206
0,"pure delay kernel",16382,32,132,0,4,472,0,65.811537206
0,"pure delay kernel",16382,32,132,0,4,3140,0,283.141620457
0,"pure delay kernel",16382,32,132,1,0,2,0,30.263699591
0,"pure delay kernel",16382,32,132,1,0,4,0,30.095875263
0,"pure delay kernel",16382,32,132,1,0,472,0,67.018344998
0,"pure delay kernel",16382,32,132,1,0,3140,0,280.713289976
0,"pure delay kernel",16382,32,132,1,0,183,0,43.442100286
0,"pure delay kernel",16382,32,132,1,0,28,0,32.482855022
0,"pure delay kernel",16382,32,132,1,0,71,0,35.395473242
0,"pure delay kernel",16382,32,132,1,0,1218,0,127.451494336
0,"pure delay kernel",16382,32,132,1,0,294,0,53.536333144
0,"pure delay kernel",16382,32,132,1,0,1,0,30.933134258
0,"pure delay kernel",16382,32,132,1,0,7,0,31.442381442
0,"pure delay kernel",16382,32,132,1,0,1955,0,186.666101217
0,"pure delay kernel",16382,32,132,1,0,758,0,90.370513499
0,"pure delay kernel",16382,32,132,1,0,114,0,37.422589958
0,"pure delay kernel",16382,32,132,1,0,11,0,27.179531753
0,"pure delay kernel",16382,32,132,1,0,3,0,30.053034425
0,"pure delay kernel",16382,32,132,1,0,8096,0,680.307857692
0,"pure delay kernel",16382,32,132,1,0,44,0,32.479315996
0,"pure delay kernel",16382,32,132,1,0,17,0,31.959265471
0,"pure delay kernel",16382,32,132,1,0,5042,0,434.592925012
0,"pure delay kernel",16382,32,132,1,1,758,0,91.443769634
0,"pure delay kernel",16382,32,132,1,1,3,0,30.728988349
0,"pure delay kernel",16382,32,132,1,1,3140,0,282.166711986
0,"pure delay kernel",16382,32,132,1,1,1955,0,187.320448458
0,"pure delay kernel",16382,32,132,1,1,44,0,30.873343349
0,"pure delay kernel",16382,32,132,1,1,17,0,32.641552389
0,"pure delay kernel",16382,32,132,1,1,294,0,53.003616631
0,"pure delay kernel",16382,32,132,1,1,28,0,32.388605177
0,"pure delay kernel",16382,32,132,1,1,114,0,39.200857282
0,"pure delay kernel",16382,32,132,1,1,2,0,30.886009336
0,"pure delay kernel",16382,32,132,1,1,7,0,31.193904579
