method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
11,"teams + parallel inside",1,32,132,0,0,7,0,2063.341997564
11,"teams + parallel inside",1,32,132,0,0,114,0,2089.978754520
11,"teams + parallel inside",1,32,132,0,0,3,0,2063.377201557
11,"teams + parallel inside",1,32,132,0,0,17,0,2059.179544449
11,"teams + parallel inside",1,32,132,0,0,1,0,2062.703855336
11,"teams + parallel inside",1,32,132,0,0,44,0,2071.221172810
11,"teams + parallel inside",1,32,132,0,0,294,0,2221.685089171
11,"teams + parallel inside",1,32,132,0,0,3140,0,2778.130397201
11,"teams + parallel inside",1,32,132,0,0,4,0,2061.150968075
11,"teams + parallel inside",1,32,132,0,0,1955,0,2561.771497130
11,"teams + parallel inside",1,32,132,0,0,183,0,2127.185650170
11,"teams + parallel inside",1,32,132,0,0,8096,0,3839.149884880
11,"teams + parallel inside",1,32,132,0,0,758,0,2229.527197778
11,"teams + parallel inside",1,32,132,0,0,71,0,2080.016583204
11,"teams + parallel inside",1,32,132,0,0,2,0,2063.052356243
11,"teams + parallel inside",1,32,132,0,0,11,0,2059.952914715
11,"teams + parallel inside",1,32,132,0,0,28,0,2062.229253352
11,"teams + parallel inside",1,32,132,0,0,5042,0,3174.983896315
11,"teams + parallel inside",1,32,132,0,0,1218,0,2388.595789671
11,"teams + parallel inside",1,32,132,0,0,472,0,2280.107699335
11,"teams + parallel inside",1,32,132,0,1,4,0,2062.161266804
11,"teams + parallel inside",1,32,132,0,1,1,0,2055.900730193
11,"teams + parallel inside",1,32,132,0,1,17,0,2059.906534851
11,"teams + parallel inside",1,32,132,0,1,28,0,2074.132114649
11,"teams + parallel inside",1,32,132,0,1,11,0,2051.981352270
11,"teams + parallel inside",1,32,132,0,1,3140,0,2803.782187402
11,"teams + parallel inside",1,32,132,0,1,2,0,2049.377933145
11,"teams + parallel inside",1,32,132,0,1,758,0,2239.467389882
11,"teams + parallel inside",1,32,132,0,1,1218,0,2466.931380332
11,"teams + parallel inside",1,32,132,0,1,44,0,2071.342989802
11,"teams + parallel inside",1,32,132,0,1,71,0,2090.113051236
11,"teams + parallel inside",1,32,132,0,1,114,0,2085.447683930
11,"teams + parallel inside",1,32,132,0,1,294,0,2247.966453433
11,"teams + parallel inside",1,32,132,0,1,7,0,2052.849344909
11,"teams + parallel inside",1,32,132,0,1,183,0,2094.337902963
11,"teams + parallel inside",1,32,132,0,1,8096,0,3844.411484897
11,"teams + parallel inside",1,32,132,0,1,472,0,2275.068126619
11,"teams + parallel inside",1,32,132,0,1,1955,0,2560.106664896
11,"teams + parallel inside",1,32,132,0,1,3,0,2055.800706148
11,"teams + parallel inside",1,32,132,0,1,5042,0,3180.999308825
11,"teams + parallel inside",1,32,132,0,2,3,0,2058.684080839
11,"teams + parallel inside",1,32,132,0,2,44,0,2061.179466546
11,"teams + parallel inside",1,32,132,0,2,1,0,2060.819603503
11,"teams + parallel inside",1,32,132,0,2,183,0,2120.185829699
11,"teams + parallel inside",1,32,132,0,2,294,0,2202.335186303
11,"teams + parallel inside",1,32,132,0,2,5042,0,3181.806392968
11,"teams + parallel inside",1,32,132,0,2,7,0,2056.507207453
11,"teams + parallel inside",1,32,132,0,2,8096,0,3847.268410027
11,"teams + parallel inside",1,32,132,0,2,2,0,2055.926062167
11,"teams + parallel inside",1,32,132,0,2,114,0,2084.752731025
11,"teams + parallel inside",1,32,132,0,2,71,0,2061.097696424
11,"teams + parallel inside",1,32,132,0,2,1955,0,2549.286559224
11,"teams + parallel inside",1,32,132,0,2,17,0,2067.640796304
11,"teams + parallel inside",1,32,132,0,2,472,0,2271.815761924
11,"teams + parallel inside",1,32,132,0,2,11,0,2057.394571602
11,"teams + parallel inside",1,32,132,0,2,1218,0,2413.655072451
11,"teams + parallel inside",1,32,132,0,2,4,0,2059.024386108
11,"teams + parallel inside",1,32,132,0,2,3140,0,2787.645906210
11,"teams + parallel inside",1,32,132,0,2,758,0,2225.562371314
11,"teams + parallel inside",1,32,132,0,2,28,0,2068.265900016
11,"teams + parallel inside",1,32,132,0,3,11,0,2059.818990529
11,"teams + parallel inside",1,32,132,0,3,4,0,2062.043920159
11,"teams + parallel inside",1,32,132,0,3,5042,0,3166.008181870
11,"teams + parallel inside",1,32,132,0,3,183,0,2111.751586199
11,"teams + parallel inside",1,32,132,0,3,17,0,2063.767425716
11,"teams + parallel inside",1,32,132,0,3,3,0,2067.968435585
11,"teams + parallel inside",1,32,132,0,3,28,0,2064.122818410
11,"teams + parallel inside",1,32,132,0,3,1218,0,2414.628118277
11,"teams + parallel inside",1,32,132,0,3,114,0,2097.213640809
11,"teams + parallel inside",1,32,132,0,3,758,0,2234.506607056
11,"teams + parallel inside",1,32,132,0,3,1955,0,2525.536157191
11,"teams + parallel inside",1,32,132,0,3,472,0,2286.847867072
11,"teams + parallel inside",1,32,132,0,3,7,0,2059.019356966
11,"teams + parallel inside",1,32,132,0,3,44,0,2065.545320511
11,"teams + parallel inside",1,32,132,0,3,3140,0,2765.948139131
11,"teams + parallel inside",1,32,132,0,3,8096,0,3847.911767662
11,"teams + parallel inside",1,32,132,0,3,71,0,2074.363455176
11,"teams + parallel inside",1,32,132,0,3,1,0,2059.002034366
11,"teams + parallel inside",1,32,132,0,3,2,0,2054.943144321
11,"teams + parallel inside",1,32,132,0,3,294,0,2201.491780579
11,"teams + parallel inside",1,32,132,0,4,3,0,2057.898044586
11,"teams + parallel inside",1,32,132,0,4,8096,0,3821.554407477
11,"teams + parallel inside",1,32,132,0,4,1,0,2055.438607931
11,"teams + parallel inside",1,32,132,0,4,28,0,2066.192403436
11,"teams + parallel inside",1,32,132,0,4,17,0,2069.283835590
11,"teams + parallel inside",1,32,132,0,4,5042,0,3192.076832056
11,"teams + parallel inside",1,32,132,0,4,7,0,2065.885253251
11,"teams + parallel inside",1,32,132,0,4,114,0,2110.742963850
11,"teams + parallel inside",1,32,132,0,4,44,0,2078.410610557
11,"teams + parallel inside",1,32,132,0,4,2,0,2067.979238927
11,"teams + parallel inside",1,32,132,0,4,294,0,2228.242345154
11,"teams + parallel inside",1,32,132,0,4,758,0,2246.076799929
11,"teams + parallel inside",1,32,132,0,4,183,0,2251.759544015
11,"teams + parallel inside",1,32,132,0,4,4,0,2057.441137731
11,"teams + parallel inside",1,32,132,0,4,1218,0,2397.859282792
11,"teams + parallel inside",1,32,132,0,4,71,0,2077.638730407
11,"teams + parallel inside",1,32,132,0,4,1955,0,2565.163746476
11,"teams + parallel inside",1,32,132,0,4,11,0,2058.700844646
11,"teams + parallel inside",1,32,132,0,4,472,0,2275.877445936
11,"teams + parallel inside",1,32,132,0,4,3140,0,2790.304832160
11,"teams + parallel inside",1,32,132,1,0,2,0,2061.160467565
