method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
11,"teams + parallel inside",1,64,104,0,0,7,0,453.746318817
11,"teams + parallel inside",1,64,104,0,0,114,0,613.439083099
11,"teams + parallel inside",1,64,104,0,0,3,0,449.502468109
11,"teams + parallel inside",1,64,104,0,0,17,0,470.149517059
11,"teams + parallel inside",1,64,104,0,0,1,0,447.702407837
11,"teams + parallel inside",1,64,104,0,0,44,0,509.452819824
11,"teams + parallel inside",1,64,104,0,0,294,0,881.958007812
11,"teams + parallel inside",1,64,104,0,0,3140,0,5186.998844147
11,"teams + parallel inside",1,64,104,0,0,4,0,452.399253845
11,"teams + parallel inside",1,64,104,0,0,1955,0,3395.307064056
11,"teams + parallel inside",1,64,104,0,0,183,0,715.601444244
11,"teams + parallel inside",1,64,104,0,0,8096,0,12650.358676910
11,"teams + parallel inside",1,64,104,0,0,758,0,1582.598686218
11,"teams + parallel inside",1,64,104,0,0,71,0,547.504425049
11,"teams + parallel inside",1,64,104,0,0,2,0,447.952747345
11,"teams + parallel inside",1,64,104,0,0,11,0,460.445880890
11,"teams + parallel inside",1,64,104,0,0,28,0,484.097003937
11,"teams + parallel inside",1,64,104,0,0,5042,0,8050.358295441
11,"teams + parallel inside",1,64,104,0,0,1218,0,2283.942699432
11,"teams + parallel inside",1,64,104,0,0,472,0,1151.454448700
11,"teams + parallel inside",1,64,104,0,1,4,0,453.448295593
11,"teams + parallel inside",1,64,104,0,1,1,0,447.559356689
11,"teams + parallel inside",1,64,104,0,1,17,0,468.897819519
11,"teams + parallel inside",1,64,104,0,1,28,0,483.798980713
11,"teams + parallel inside",1,64,104,0,1,11,0,459.456443787
11,"teams + parallel inside",1,64,104,0,1,3140,0,5185.604095459
11,"teams + parallel inside",1,64,104,0,1,2,0,449.502468109
11,"teams + parallel inside",1,64,104,0,1,758,0,1586.496829987
11,"teams + parallel inside",1,64,104,0,1,1218,0,2283.501625061
11,"teams + parallel inside",1,64,104,0,1,44,0,508.844852448
11,"teams + parallel inside",1,64,104,0,1,71,0,548.839569092
11,"teams + parallel inside",1,64,104,0,1,114,0,612.044334412
11,"teams + parallel inside",1,64,104,0,1,294,0,882.601737976
11,"teams + parallel inside",1,64,104,0,1,7,0,454.246997833
11,"teams + parallel inside",1,64,104,0,1,183,0,716.054439545
11,"teams + parallel inside",1,64,104,0,1,8096,0,12643.098831177
11,"teams + parallel inside",1,64,104,0,1,472,0,1156.246662140
11,"teams + parallel inside",1,64,104,0,1,1955,0,3393.650054932
11,"teams + parallel inside",1,64,104,0,1,3,0,449.097156525
11,"teams + parallel inside",1,64,104,0,1,5042,0,8040.845394135
11,"teams + parallel inside",1,64,104,0,2,3,0,451.350212097
11,"teams + parallel inside",1,64,104,0,2,44,0,508.153438568
11,"teams + parallel inside",1,64,104,0,2,1,0,447.750091553
11,"teams + parallel inside",1,64,104,0,2,183,0,715.100765228
11,"teams + parallel inside",1,64,104,0,2,294,0,880.849361420
11,"teams + parallel inside",1,64,104,0,2,5042,0,8041.644096375
11,"teams + parallel inside",1,64,104,0,2,7,0,453.102588654
11,"teams + parallel inside",1,64,104,0,2,8096,0,12642.395496368
11,"teams + parallel inside",1,64,104,0,2,2,0,449.061393738
11,"teams + parallel inside",1,64,104,0,2,114,0,612.604618073
11,"teams + parallel inside",1,64,104,0,2,71,0,548.100471497
11,"teams + parallel inside",1,64,104,0,2,1955,0,3394.508361816
11,"teams + parallel inside",1,64,104,0,2,17,0,468.647480011
11,"teams + parallel inside",1,64,104,0,2,472,0,1154.255867004
11,"teams + parallel inside",1,64,104,0,2,11,0,459.849834442
11,"teams + parallel inside",1,64,104,0,2,1218,0,2282.595634460
11,"teams + parallel inside",1,64,104,0,2,4,0,451.445579529
11,"teams + parallel inside",1,64,104,0,2,3140,0,5179.047584534
11,"teams + parallel inside",1,64,104,0,2,758,0,1589.643955231
11,"teams + parallel inside",1,64,104,0,2,28,0,484.740734100
11,"teams + parallel inside",1,64,104,0,3,11,0,459.444522858
11,"teams + parallel inside",1,64,104,0,3,4,0,451.695919037
11,"teams + parallel inside",1,64,104,0,3,5042,0,8046.352863312
11,"teams + parallel inside",1,64,104,0,3,183,0,716.197490692
11,"teams + parallel inside",1,64,104,0,3,17,0,470.209121704
11,"teams + parallel inside",1,64,104,0,3,3,0,449.347496033
11,"teams + parallel inside",1,64,104,0,3,28,0,484.001636505
11,"teams + parallel inside",1,64,104,0,3,1218,0,2286.994457245
