method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,64,104,0,0,7,0,218.605995178
1,"map(tofrom: a)",1,64,104,0,0,114,0,382.351875305
1,"map(tofrom: a)",1,64,104,0,0,3,0,211.548805237
1,"map(tofrom: a)",1,64,104,0,0,17,0,235.092639923
1,"map(tofrom: a)",1,64,104,0,0,1,0,210.154056549
1,"map(tofrom: a)",1,64,104,0,0,44,0,276.291370392
1,"map(tofrom: a)",1,64,104,0,0,294,0,652.945041656
1,"map(tofrom: a)",1,64,104,0,0,3140,0,4931.402206421
1,"map(tofrom: a)",1,64,104,0,0,4,0,216.102600098
1,"map(tofrom: a)",1,64,104,0,0,1955,0,3131.842613220
1,"map(tofrom: a)",1,64,104,0,0,183,0,484.454631805
1,"map(tofrom: a)",1,64,104,0,0,8096,0,12508.857250214
1,"map(tofrom: a)",1,64,104,0,0,758,0,1338.648796082
1,"map(tofrom: a)",1,64,104,0,0,71,0,314.795970917
1,"map(tofrom: a)",1,64,104,0,0,2,0,209.748744965
1,"map(tofrom: a)",1,64,104,0,0,11,0,224.757194519
1,"map(tofrom: a)",1,64,104,0,0,28,0,250.601768494
1,"map(tofrom: a)",1,64,104,0,0,5042,0,7817.244529724
1,"map(tofrom: a)",1,64,104,0,0,1218,0,2008.450031281
1,"map(tofrom: a)",1,64,104,0,0,472,0,908.601284027
1,"map(tofrom: a)",1,64,104,0,1,4,0,214.242935181
1,"map(tofrom: a)",1,64,104,0,1,1,0,210.452079773
1,"map(tofrom: a)",1,64,104,0,1,17,0,235.748291016
1,"map(tofrom: a)",1,64,104,0,1,28,0,250.101089478
1,"map(tofrom: a)",1,64,104,0,1,11,0,224.649906158
1,"map(tofrom: a)",1,64,104,0,1,3140,0,4923.748970032
1,"map(tofrom: a)",1,64,104,0,1,2,0,211.548805237
1,"map(tofrom: a)",1,64,104,0,1,758,0,1359.009742737
1,"map(tofrom: a)",1,64,104,0,1,1218,0,2009.046077728
1,"map(tofrom: a)",1,64,104,0,1,44,0,275.254249573
1,"map(tofrom: a)",1,64,104,0,1,71,0,315.058231354
1,"map(tofrom: a)",1,64,104,0,1,114,0,382.149219513
1,"map(tofrom: a)",1,64,104,0,1,294,0,654.053688049
1,"map(tofrom: a)",1,64,104,0,1,7,0,218.451023102
1,"map(tofrom: a)",1,64,104,0,1,183,0,480.604171753
1,"map(tofrom: a)",1,64,104,0,1,8096,0,12254.703044891
1,"map(tofrom: a)",1,64,104,0,1,472,0,915.455818176
1,"map(tofrom: a)",1,64,104,0,1,1955,0,3192.794322968
1,"map(tofrom: a)",1,64,104,0,1,3,0,211.346149445
1,"map(tofrom: a)",1,64,104,0,1,5042,0,7704.997062683
1,"map(tofrom: a)",1,64,104,0,2,3,0,212.609767914
1,"map(tofrom: a)",1,64,104,0,2,44,0,275.897979736
1,"map(tofrom: a)",1,64,104,0,2,1,0,210.154056549
1,"map(tofrom: a)",1,64,104,0,2,183,0,485.253334045
1,"map(tofrom: a)",1,64,104,0,2,294,0,643.444061279
1,"map(tofrom: a)",1,64,104,0,2,5042,0,7722.246646881
1,"map(tofrom: a)",1,64,104,0,2,7,0,220.251083374
1,"map(tofrom: a)",1,64,104,0,2,8096,0,12467.396259308
1,"map(tofrom: a)",1,64,104,0,2,2,0,210.547447205
1,"map(tofrom: a)",1,64,104,0,2,114,0,379.109382629
1,"map(tofrom: a)",1,64,104,0,2,71,0,314.450263977
1,"map(tofrom: a)",1,64,104,0,2,1955,0,3145.456314087
1,"map(tofrom: a)",1,64,104,0,2,17,0,235.152244568
1,"map(tofrom: a)",1,64,104,0,2,472,0,923.943519592
1,"map(tofrom: a)",1,64,104,0,2,11,0,224.947929382
1,"map(tofrom: a)",1,64,104,0,2,1218,0,2017.402648926
1,"map(tofrom: a)",1,64,104,0,2,4,0,214.254856110
1,"map(tofrom: a)",1,64,104,0,2,3140,0,4968.047142029
1,"map(tofrom: a)",1,64,104,0,2,758,0,1352.655887604
1,"map(tofrom: a)",1,64,104,0,2,28,0,250.244140625
1,"map(tofrom: a)",1,64,104,0,3,11,0,224.757194519
1,"map(tofrom: a)",1,64,104,0,3,4,0,214.195251465
1,"map(tofrom: a)",1,64,104,0,3,5042,0,7792.198657990
1,"map(tofrom: a)",1,64,104,0,3,183,0,488.591194153
1,"map(tofrom: a)",1,64,104,0,3,17,0,235.152244568
1,"map(tofrom: a)",1,64,104,0,3,3,0,211.143493652
1,"map(tofrom: a)",1,64,104,0,3,28,0,249.803066254
1,"map(tofrom: a)",1,64,104,0,3,1218,0,2030.599117279
1,"map(tofrom: a)",1,64,104,0,3,114,0,382.053852081
1,"map(tofrom: a)",1,64,104,0,3,758,0,1349.401473999
1,"map(tofrom: a)",1,64,104,0,3,1955,0,3112.447261810
1,"map(tofrom: a)",1,64,104,0,3,472,0,908.493995667
1,"map(tofrom: a)",1,64,104,0,3,7,0,218.749046326
1,"map(tofrom: a)",1,64,104,0,3,44,0,276.744365692
1,"map(tofrom: a)",1,64,104,0,3,3140,0,4945.647716522
1,"map(tofrom: a)",1,64,104,0,3,8096,0,12268.006801605
1,"map(tofrom: a)",1,64,104,0,3,71,0,315.749645233
1,"map(tofrom: a)",1,64,104,0,3,1,0,209.951400757
1,"map(tofrom: a)",1,64,104,0,3,2,0,209.951400757
1,"map(tofrom: a)",1,64,104,0,3,294,0,655.293464661
1,"map(tofrom: a)",1,64,104,0,4,3,0,211.250782013
1,"map(tofrom: a)",1,64,104,0,4,8096,0,12266.647815704
1,"map(tofrom: a)",1,64,104,0,4,1,0,211.048126221
1,"map(tofrom: a)",1,64,104,0,4,28,0,250.506401062
1,"map(tofrom: a)",1,64,104,0,4,17,0,235.402584076
1,"map(tofrom: a)",1,64,104,0,4,5042,0,7749.354839325
1,"map(tofrom: a)",1,64,104,0,4,7,0,219.750404358
1,"map(tofrom: a)",1,64,104,0,4,114,0,378.847122192
1,"map(tofrom: a)",1,64,104,0,4,44,0,275.695323944
1,"map(tofrom: a)",1,64,104,0,4,2,0,209.796428680
1,"map(tofrom: a)",1,64,104,0,4,294,0,647.842884064
1,"map(tofrom: a)",1,64,104,0,4,758,0,1332.449913025
1,"map(tofrom: a)",1,64,104,0,4,183,0,480.055809021
1,"map(tofrom: a)",1,64,104,0,4,4,0,214.600563049
1,"map(tofrom: a)",1,64,104,0,4,1218,0,2047.395706177
1,"map(tofrom: a)",1,64,104,0,4,71,0,316.655635834
1,"map(tofrom: a)",1,64,104,0,4,1955,0,3108.990192413
1,"map(tofrom: a)",1,64,104,0,4,11,0,224.494934082
1,"map(tofrom: a)",1,64,104,0,4,472,0,912.642478943
1,"map(tofrom: a)",1,64,104,0,4,3140,0,4979.956150055
1,"map(tofrom: a)",1,64,104,1,0,2,0,209.808349609
1,"map(tofrom: a)",1,64,104,1,0,4,0,214.195251465
1,"map(tofrom: a)",1,64,104,1,0,472,0,906.550884247
1,"map(tofrom: a)",1,64,104,1,0,3140,0,4931.497573853
1,"map(tofrom: a)",1,64,104,1,0,183,0,486.302375793
1,"map(tofrom: a)",1,64,104,1,0,28,0,250.899791718
1,"map(tofrom: a)",1,64,104,1,0,71,0,314.748287201
1,"map(tofrom: a)",1,64,104,1,0,1218,0,2016.699314117
1,"map(tofrom: a)",1,64,104,1,0,294,0,645.041465759
1,"map(tofrom: a)",1,64,104,1,0,1,0,209.748744965
1,"map(tofrom: a)",1,64,104,1,0,7,0,218.951702118
1,"map(tofrom: a)",1,64,104,1,0,1955,0,3143.703937531
1,"map(tofrom: a)",1,64,104,1,0,758,0,1328.647136688
1,"map(tofrom: a)",1,64,104,1,0,114,0,379.848480225
1,"map(tofrom: a)",1,64,104,1,0,11,0,224.554538727
1,"map(tofrom: a)",1,64,104,1,0,3,0,211.548805237
1,"map(tofrom: a)",1,64,104,1,0,8096,0,12289.857864380
1,"map(tofrom: a)",1,64,104,1,0,44,0,275.003910065
1,"map(tofrom: a)",1,64,104,1,0,17,0,235.295295715
1,"map(tofrom: a)",1,64,104,1,0,5042,0,7781.004905701
1,"map(tofrom: a)",1,64,104,1,1,758,0,1355.350017548
1,"map(tofrom: a)",1,64,104,1,1,3,0,211.656093597
1,"map(tofrom: a)",1,64,104,1,1,3140,0,4881.310462952
1,"map(tofrom: a)",1,64,104,1,1,1955,0,3119.397163391
1,"map(tofrom: a)",1,64,104,1,1,44,0,275.349617004
1,"map(tofrom: a)",1,64,104,1,1,17,0,235.605239868
1,"map(tofrom: a)",1,64,104,1,1,294,0,650.596618652
1,"map(tofrom: a)",1,64,104,1,1,28,0,250.494480133
1,"map(tofrom: a)",1,64,104,1,1,114,0,378.108024597
1,"map(tofrom: a)",1,64,104,1,1,2,0,209.701061249
1,"map(tofrom: a)",1,64,104,1,1,7,0,218.558311462
1,"map(tofrom: a)",1,64,104,1,1,183,0,487.256050110
1,"map(tofrom: a)",1,64,104,1,1,8096,0,12205.743789673
1,"map(tofrom: a)",1,64,104,1,1,11,0,224.947929382
1,"map(tofrom: a)",1,64,104,1,1,1,0,209.808349609
1,"map(tofrom: a)",1,64,104,1,1,1218,0,2044.391632080
1,"map(tofrom: a)",1,64,104,1,1,472,0,922.358036041
1,"map(tofrom: a)",1,64,104,1,1,71,0,315.344333649
1,"map(tofrom: a)",1,64,104,1,1,5042,0,7704.246044159
1,"map(tofrom: a)",1,64,104,1,1,4,0,215.649604797
1,"map(tofrom: a)",1,64,104,1,2,2,0,209.796428680
1,"map(tofrom: a)",1,64,104,1,2,71,0,317.645072937
1,"map(tofrom: a)",1,64,104,1,2,17,0,234.854221344
1,"map(tofrom: a)",1,64,104,1,2,472,0,909.149646759
1,"map(tofrom: a)",1,64,104,1,2,5042,0,7685.053348541
1,"map(tofrom: a)",1,64,104,1,2,28,0,250.995159149
1,"map(tofrom: a)",1,64,104,1,2,44,0,276.196002960
1,"map(tofrom: a)",1,64,104,1,2,1218,0,2039.909362793
1,"map(tofrom: a)",1,64,104,1,2,4,0,214.302539825
1,"map(tofrom: a)",1,64,104,1,2,1955,0,3131.401538849
1,"map(tofrom: a)",1,64,104,1,2,183,0,482.344627380
1,"map(tofrom: a)",1,64,104,1,2,7,0,218.844413757
1,"map(tofrom: a)",1,64,104,1,2,758,0,1350.152492523
1,"map(tofrom: a)",1,64,104,1,2,1,0,210.809707642
1,"map(tofrom: a)",1,64,104,1,2,3140,0,4876.756668091
1,"map(tofrom: a)",1,64,104,1,2,8096,0,12336.242198944
1,"map(tofrom: a)",1,64,104,1,2,3,0,217.306613922
1,"map(tofrom: a)",1,64,104,1,2,114,0,388.848781586
1,"map(tofrom: a)",1,64,104,1,2,11,0,230.050086975
1,"map(tofrom: a)",1,64,104,1,2,294,0,652.706623077
1,"map(tofrom: a)",1,64,104,1,3,1,0,215.995311737
1,"map(tofrom: a)",1,64,104,1,3,17,0,241.804122925
1,"map(tofrom: a)",1,64,104,1,3,294,0,658.702850342
1,"map(tofrom: a)",1,64,104,1,3,5042,0,7774.758338928
1,"map(tofrom: a)",1,64,104,1,3,114,0,379.192829132
1,"map(tofrom: a)",1,64,104,1,3,28,0,250.244140625
1,"map(tofrom: a)",1,64,104,1,3,1218,0,2033.448219299
1,"map(tofrom: a)",1,64,104,1,3,2,0,209.999084473
1,"map(tofrom: a)",1,64,104,1,3,3,0,211.155414581
1,"map(tofrom: a)",1,64,104,1,3,4,0,214.350223541
1,"map(tofrom: a)",1,64,104,1,3,758,0,1332.855224609
1,"map(tofrom: a)",1,64,104,1,3,11,0,225.150585175
1,"map(tofrom: a)",1,64,104,1,3,44,0,276.541709900
1,"map(tofrom: a)",1,64,104,1,3,472,0,919.198989868
1,"map(tofrom: a)",1,64,104,1,3,7,0,218.653678894
1,"map(tofrom: a)",1,64,104,1,3,1955,0,3116.500377655
1,"map(tofrom: a)",1,64,104,1,3,71,0,315.451622009
1,"map(tofrom: a)",1,64,104,1,3,183,0,487.399101257
1,"map(tofrom: a)",1,64,104,1,3,8096,0,12369.847297668
1,"map(tofrom: a)",1,64,104,1,3,3140,0,4904.854297638
1,"map(tofrom: a)",1,64,104,1,4,472,0,907.409191132
1,"map(tofrom: a)",1,64,104,1,4,71,0,316.298007965
1,"map(tofrom: a)",1,64,104,1,4,1,0,209.903717041
1,"map(tofrom: a)",1,64,104,1,4,11,0,225.448608398
1,"map(tofrom: a)",1,64,104,1,4,4,0,216.805934906
1,"map(tofrom: a)",1,64,104,1,4,3140,0,4907.596111298
1,"map(tofrom: a)",1,64,104,1,4,28,0,253.748893738
1,"map(tofrom: a)",1,64,104,1,4,1218,0,2044.951915741
1,"map(tofrom: a)",1,64,104,1,4,2,0,213.694572449
1,"map(tofrom: a)",1,64,104,1,4,183,0,485.098361969
1,"map(tofrom: a)",1,64,104,1,4,5042,0,7710.754871368
1,"map(tofrom: a)",1,64,104,1,4,114,0,382.053852081
1,"map(tofrom: a)",1,64,104,1,4,3,0,214.397907257
1,"map(tofrom: a)",1,64,104,1,4,44,0,279.092788696
1,"map(tofrom: a)",1,64,104,1,4,758,0,1342.856884003
1,"map(tofrom: a)",1,64,104,1,4,8096,0,12235.498428345
1,"map(tofrom: a)",1,64,104,1,4,1955,0,3112.804889679
1,"map(tofrom: a)",1,64,104,1,4,294,0,656.342506409
1,"map(tofrom: a)",1,64,104,1,4,7,0,224.399566650
1,"map(tofrom: a)",1,64,104,1,4,17,0,239.098072052
1,"map(tofrom: a)",4,64,104,0,0,7,0,218.391418457
1,"map(tofrom: a)",4,64,104,0,0,114,0,384.342670441
1,"map(tofrom: a)",4,64,104,0,0,3,0,211.501121521
1,"map(tofrom: a)",4,64,104,0,0,17,0,235.092639923
1,"map(tofrom: a)",4,64,104,0,0,1,0,209.701061249
1,"map(tofrom: a)",4,64,104,0,0,44,0,276.589393616
1,"map(tofrom: a)",4,64,104,0,0,294,0,657.498836517
1,"map(tofrom: a)",4,64,104,0,0,3140,0,4990.053176880
1,"map(tofrom: a)",4,64,104,0,0,4,0,215.947628021
1,"map(tofrom: a)",4,64,104,0,0,1955,0,3152.203559875
1,"map(tofrom: a)",4,64,104,0,0,183,0,485.098361969
1,"map(tofrom: a)",4,64,104,0,0,8096,0,12559.652328491
1,"map(tofrom: a)",4,64,104,0,0,758,0,1360.857486725
1,"map(tofrom: a)",4,64,104,0,0,71,0,316.298007965
1,"map(tofrom: a)",4,64,104,0,0,2,0,210.702419281
1,"map(tofrom: a)",4,64,104,0,0,11,0,225.305557251
1,"map(tofrom: a)",4,64,104,0,0,28,0,251.400470734
1,"map(tofrom: a)",4,64,104,0,0,5042,0,7922.446727753
1,"map(tofrom: a)",4,64,104,0,0,1218,0,2028.656005859
1,"map(tofrom: a)",4,64,104,0,0,472,0,916.457176208
1,"map(tofrom: a)",4,64,104,0,1,4,0,214.290618896
1,"map(tofrom: a)",4,64,104,0,1,1,0,210.094451904
1,"map(tofrom: a)",4,64,104,0,1,17,0,235.652923584
1,"map(tofrom: a)",4,64,104,0,1,28,0,250.196456909
1,"map(tofrom: a)",4,64,104,0,1,11,0,224.554538727
1,"map(tofrom: a)",4,64,104,0,1,3140,0,4937.553405762
1,"map(tofrom: a)",4,64,104,0,1,2,0,211.894512177
1,"map(tofrom: a)",4,64,104,0,1,758,0,1368.796825409
