method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
11,"teams + parallel inside",1,64,104,0,0,7,0,228.555299691
11,"teams + parallel inside",1,64,104,0,0,114,0,316.430800012
11,"teams + parallel inside",1,64,104,0,0,3,0,229.288198170
11,"teams + parallel inside",1,64,104,0,0,17,0,228.965099086
11,"teams + parallel inside",1,64,104,0,0,1,0,229.061749997
11,"teams + parallel inside",1,64,104,0,0,44,0,277.398250182
11,"teams + parallel inside",1,64,104,0,0,294,0,448.001149925
11,"teams + parallel inside",1,64,104,0,0,3140,0,2601.516249706
11,"teams + parallel inside",1,64,104,0,0,4,0,228.987602168
11,"teams + parallel inside",1,64,104,0,0,1955,0,1722.987799440
11,"teams + parallel inside",1,64,104,0,0,183,0,360.599000123
11,"teams + parallel inside",1,64,104,0,0,8096,0,6368.338299217
11,"teams + parallel inside",1,64,104,0,0,758,0,798.722650507
11,"teams + parallel inside",1,64,104,0,0,71,0,272.959450376
11,"teams + parallel inside",1,64,104,0,0,2,0,228.942048852
11,"teams + parallel inside",1,64,104,0,0,11,0,228.995148791
11,"teams + parallel inside",1,64,104,0,0,28,0,231.381598860
11,"teams + parallel inside",1,64,104,0,0,5042,0,4050.582798664
11,"teams + parallel inside",1,64,104,0,0,1218,0,1149.784252630
11,"teams + parallel inside",1,64,104,0,0,472,0,579.587402171
11,"teams + parallel inside",1,64,104,0,1,4,0,228.928550496
11,"teams + parallel inside",1,64,104,0,1,1,0,228.946050629
11,"teams + parallel inside",1,64,104,0,1,17,0,229.026252055
11,"teams + parallel inside",1,64,104,0,1,28,0,231.168750906
11,"teams + parallel inside",1,64,104,0,1,11,0,228.963050176
11,"teams + parallel inside",1,64,104,0,1,3140,0,2604.309501476
11,"teams + parallel inside",1,64,104,0,1,2,0,229.052800569
11,"teams + parallel inside",1,64,104,0,1,758,0,798.712100368
11,"teams + parallel inside",1,64,104,0,1,1218,0,1149.525798974
11,"teams + parallel inside",1,64,104,0,1,44,0,277.360700420
11,"teams + parallel inside",1,64,104,0,1,71,0,272.782600950
11,"teams + parallel inside",1,64,104,0,1,114,0,316.374699469
11,"teams + parallel inside",1,64,104,0,1,294,0,448.571649031
11,"teams + parallel inside",1,64,104,0,1,7,0,229.360800586
11,"teams + parallel inside",1,64,104,0,1,183,0,360.568950418
11,"teams + parallel inside",1,64,104,0,1,8096,0,6366.573050036
11,"teams + parallel inside",1,64,104,0,1,472,0,579.644049867
11,"teams + parallel inside",1,64,104,0,1,1955,0,1723.347400548
11,"teams + parallel inside",1,64,104,0,1,3,0,229.219550965
11,"teams + parallel inside",1,64,104,0,1,5042,0,4048.824450001
11,"teams + parallel inside",1,64,104,0,2,3,0,228.991149925
