method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,64,104,0,0,7,0,273.599699722
1,"map(tofrom: a)",1,64,104,0,0,114,0,365.287400200
1,"map(tofrom: a)",1,64,104,0,0,3,0,274.506397545
1,"map(tofrom: a)",1,64,104,0,0,17,0,274.828501279
1,"map(tofrom: a)",1,64,104,0,0,1,0,274.664649623
1,"map(tofrom: a)",1,64,104,0,0,44,0,319.653400220
1,"map(tofrom: a)",1,64,104,0,0,294,0,476.732000243
1,"map(tofrom: a)",1,64,104,0,0,3140,0,2393.321451382
1,"map(tofrom: a)",1,64,104,0,0,4,0,275.054399390
1,"map(tofrom: a)",1,64,104,0,0,1955,0,1618.349199998
1,"map(tofrom: a)",1,64,104,0,0,183,0,407.450299826
1,"map(tofrom: a)",1,64,104,0,0,8096,0,5768.693899154
1,"map(tofrom: a)",1,64,104,0,0,758,0,785.576199996
1,"map(tofrom: a)",1,64,104,0,0,71,0,318.390049506
1,"map(tofrom: a)",1,64,104,0,0,2,0,274.819950573
1,"map(tofrom: a)",1,64,104,0,0,11,0,274.476848426
1,"map(tofrom: a)",1,64,104,0,0,28,0,274.739347515
1,"map(tofrom: a)",1,64,104,0,0,5042,0,3682.849547477
1,"map(tofrom: a)",1,64,104,0,0,1218,0,1096.633999259
1,"map(tofrom: a)",1,64,104,0,0,472,0,604.237150401
1,"map(tofrom: a)",1,64,104,0,1,4,0,274.752400583
1,"map(tofrom: a)",1,64,104,0,1,1,0,274.650150095
1,"map(tofrom: a)",1,64,104,0,1,17,0,274.413698935
1,"map(tofrom: a)",1,64,104,0,1,28,0,274.621148128
1,"map(tofrom: a)",1,64,104,0,1,11,0,274.327551597
1,"map(tofrom: a)",1,64,104,0,1,3140,0,2440.226302133
1,"map(tofrom: a)",1,64,104,0,1,2,0,274.240449653
1,"map(tofrom: a)",1,64,104,0,1,758,0,788.106399705
1,"map(tofrom: a)",1,64,104,0,1,1218,0,1093.003200367
1,"map(tofrom: a)",1,64,104,0,1,44,0,320.124800783
1,"map(tofrom: a)",1,64,104,0,1,71,0,318.427648745
1,"map(tofrom: a)",1,64,104,0,1,114,0,365.123548545
1,"map(tofrom: a)",1,64,104,0,1,294,0,476.673850790
