method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
6,"teams distribute parallel for",16382,64,104,0,0,7,0,310.552120209
6,"teams distribute parallel for",16382,64,104,0,0,7,1,310.754776001
6,"teams distribute parallel for",16382,64,104,0,0,7,2,310.754776001
6,"teams distribute parallel for",16382,64,104,0,0,7,3,310.897827148
6,"teams distribute parallel for",16382,64,104,0,0,7,4,310.802459717
6,"teams distribute parallel for",16382,64,104,0,0,7,5,310.754776001
6,"teams distribute parallel for",16382,64,104,0,0,7,6,310.695171356
6,"teams distribute parallel for",16382,64,104,0,0,7,7,310.850143433
6,"teams distribute parallel for",16382,64,104,0,0,7,8,310.909748077
6,"teams distribute parallel for",16382,64,104,0,0,7,9,310.897827148
6,"teams distribute parallel for",16382,64,104,0,0,114,0,566.792488098
6,"teams distribute parallel for",16382,64,104,0,0,114,1,566.244125366
6,"teams distribute parallel for",16382,64,104,0,0,114,2,566.899776459
6,"teams distribute parallel for",16382,64,104,0,0,114,3,566.804409027
6,"teams distribute parallel for",16382,64,104,0,0,114,4,567.042827606
6,"teams distribute parallel for",16382,64,104,0,0,114,5,566.256046295
6,"teams distribute parallel for",16382,64,104,0,0,114,6,566.744804382
6,"teams distribute parallel for",16382,64,104,0,0,114,7,566.649436951
6,"teams distribute parallel for",16382,64,104,0,0,114,8,566.709041595
6,"teams distribute parallel for",16382,64,104,0,0,114,9,566.601753235
6,"teams distribute parallel for",16382,64,104,0,0,3,0,301.456451416
6,"teams distribute parallel for",16382,64,104,0,0,3,1,301.945209503
6,"teams distribute parallel for",16382,64,104,0,0,3,2,302.040576935
6,"teams distribute parallel for",16382,64,104,0,0,3,3,301.647186279
6,"teams distribute parallel for",16382,64,104,0,0,3,4,301.742553711
6,"teams distribute parallel for",16382,64,104,0,0,3,5,301.647186279
6,"teams distribute parallel for",16382,64,104,0,0,3,6,301.444530487
6,"teams distribute parallel for",16382,64,104,0,0,3,7,302.243232727
6,"teams distribute parallel for",16382,64,104,0,0,3,8,301.897525787
6,"teams distribute parallel for",16382,64,104,0,0,3,9,301.897525787
6,"teams distribute parallel for",16382,64,104,0,0,17,0,337.648391724
6,"teams distribute parallel for",16382,64,104,0,0,17,1,337.350368500
6,"teams distribute parallel for",16382,64,104,0,0,17,2,337.445735931
6,"teams distribute parallel for",16382,64,104,0,0,17,3,337.600708008
6,"teams distribute parallel for",16382,64,104,0,0,17,4,337.600708008
6,"teams distribute parallel for",16382,64,104,0,0,17,5,337.290763855
6,"teams distribute parallel for",16382,64,104,0,0,17,6,337.457656860
6,"teams distribute parallel for",16382,64,104,0,0,17,7,337.648391724
6,"teams distribute parallel for",16382,64,104,0,0,17,8,337.457656860
6,"teams distribute parallel for",16382,64,104,0,0,17,9,337.648391724
6,"teams distribute parallel for",16382,64,104,0,0,1,0,299.406051636
6,"teams distribute parallel for",16382,64,104,0,0,1,1,299.549102783
6,"teams distribute parallel for",16382,64,104,0,0,1,2,299.644470215
6,"teams distribute parallel for",16382,64,104,0,0,1,3,299.143791199
6,"teams distribute parallel for",16382,64,104,0,0,1,4,299.394130707
6,"teams distribute parallel for",16382,64,104,0,0,1,5,299.704074860
6,"teams distribute parallel for",16382,64,104,0,0,1,6,299.155712128
6,"teams distribute parallel for",16382,64,104,0,0,1,7,299.191474915
6,"teams distribute parallel for",16382,64,104,0,0,1,8,299.501419067
6,"teams distribute parallel for",16382,64,104,0,0,1,9,299.501419067
6,"teams distribute parallel for",16382,64,104,0,0,44,0,400.698184967
6,"teams distribute parallel for",16382,64,104,0,0,44,1,400.698184967
6,"teams distribute parallel for",16382,64,104,0,0,44,2,401.496887207
6,"teams distribute parallel for",16382,64,104,0,0,44,3,401.151180267
6,"teams distribute parallel for",16382,64,104,0,0,44,4,401.401519775
6,"teams distribute parallel for",16382,64,104,0,0,44,5,400.996208191
6,"teams distribute parallel for",16382,64,104,0,0,44,6,401.699542999
6,"teams distribute parallel for",16382,64,104,0,0,44,7,401.449203491
6,"teams distribute parallel for",16382,64,104,0,0,44,8,401.151180267
6,"teams distribute parallel for",16382,64,104,0,0,44,9,400.900840759
6,"teams distribute parallel for",16382,64,104,0,0,294,0,995.349884033
6,"teams distribute parallel for",16382,64,104,0,0,294,1,995.099544525
6,"teams distribute parallel for",16382,64,104,0,0,294,2,994.801521301
6,"teams distribute parallel for",16382,64,104,0,0,294,3,994.646549225
6,"teams distribute parallel for",16382,64,104,0,0,294,4,994.956493378
6,"teams distribute parallel for",16382,64,104,0,0,294,5,994.193553925
6,"teams distribute parallel for",16382,64,104,0,0,294,6,994.646549225
6,"teams distribute parallel for",16382,64,104,0,0,294,7,994.503498077
6,"teams distribute parallel for",16382,64,104,0,0,294,8,994.598865509
6,"teams distribute parallel for",16382,64,104,0,0,294,9,994.753837585
6,"teams distribute parallel for",16382,64,104,0,0,3140,0,7759.106159210
