method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,64,228,0,0,7,0,48.589706421
1,"map(tofrom: a)",1,64,228,0,0,114,0,165.951251984
1,"map(tofrom: a)",1,64,228,0,0,3,0,47.206878662
1,"map(tofrom: a)",1,64,228,0,0,17,0,60.904026031
1,"map(tofrom: a)",1,64,228,0,0,1,0,42.808055878
1,"map(tofrom: a)",1,64,228,0,0,44,0,89.156627655
1,"map(tofrom: a)",1,64,228,0,0,294,0,356.900691986
1,"map(tofrom: a)",1,64,228,0,0,3140,0,3529.953956604
1,"map(tofrom: a)",1,64,228,0,0,4,0,46.646595001
1,"map(tofrom: a)",1,64,228,0,0,1955,0,2189.350128174
1,"map(tofrom: a)",1,64,228,0,0,183,0,229.191780090
1,"map(tofrom: a)",1,64,228,0,0,8096,0,8868.348598480
1,"map(tofrom: a)",1,64,228,0,0,758,0,859.355926514
1,"map(tofrom: a)",1,64,228,0,0,71,0,119.006633759
1,"map(tofrom: a)",1,64,228,0,0,2,0,42.700767517
1,"map(tofrom: a)",1,64,228,0,0,11,0,50.747394562
1,"map(tofrom: a)",1,64,228,0,0,28,0,69.308280945
1,"map(tofrom: a)",1,64,228,0,0,5042,0,5586.099624634
1,"map(tofrom: a)",1,64,228,0,0,1218,0,1347.851753235
1,"map(tofrom: a)",1,64,228,0,0,472,0,550.544261932
1,"map(tofrom: a)",1,64,228,0,1,4,0,46.205520630
1,"map(tofrom: a)",1,64,228,0,1,1,0,41.639804840
1,"map(tofrom: a)",1,64,228,0,1,17,0,59.151649475
1,"map(tofrom: a)",1,64,228,0,1,28,0,70.250034332
1,"map(tofrom: a)",1,64,228,0,1,11,0,50.747394562
1,"map(tofrom: a)",1,64,228,0,1,3140,0,3503.394126892
1,"map(tofrom: a)",1,64,228,0,1,2,0,42.653083801
1,"map(tofrom: a)",1,64,228,0,1,758,0,860.106945038
1,"map(tofrom: a)",1,64,228,0,1,1218,0,1353.359222412
1,"map(tofrom: a)",1,64,228,0,1,44,0,83.899497986
1,"map(tofrom: a)",1,64,228,0,1,71,0,111.246109009
1,"map(tofrom: a)",1,64,228,0,1,114,0,157.690048218
1,"map(tofrom: a)",1,64,228,0,1,294,0,352.144241333
1,"map(tofrom: a)",1,64,228,0,1,7,0,43.308734894
1,"map(tofrom: a)",1,64,228,0,1,183,0,232.303142548
1,"map(tofrom: a)",1,64,228,0,1,8096,0,8855.402469635
